Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
InLoox,yes,yes,yes,Proprietary,
in-Step BLUE,yes,yes,no,Proprietary,
IRise,yes,yes,yes,Proprietary,Java
Jira,yes,yes,yes,Proprietary,Java
Launchpad,yes,No,Yes,AGPL,Python
LibrePlan,yes,yes,yes,AGPL,Java
LiquidPlanner,yes,no,yes,Proprietary,Ruby
LisaProject,no,unk,unk,Proprietary,
MacProject,no,unk,unk,Proprietary,
MantisBT,yes,yes,no,GPL,PHP
MeisterTask,yes,no,yes,Proprietary," React, Redux"
Métier,yes,yes,yes,Proprietary,
Microsoft Dynamics AX,no,yes,no,Proprietary,X++
Microsoft Office Project Server,yes,yes,yes,Proprietary,
Microsoft Project,yes,yes,yes,Proprietary,
Microsoft SharePoint Server,yes,yes,yes,Proprietary,
Microsoft Team Foundation Server,yes,yes,yes,Proprietary,
Milestones Professional,no,yes,no,Proprietary,C++
Mingle,yes,yes,yes,Proprietary,Ruby on Rails
MyWorkPLAN,no,unk,unk,Proprietary,
NetPoint,no,unk,unk,Proprietary,
NetSuite,yes,unk,yes,unk,
O3Spaces,no,unk,unk,Proprietary,
OmniPlan,no,yes,no,Proprietary,
Onepager pro,no,yes,no,Proprietary,ASP.NET
Open Workbench,no,unk,unk,Open source,
OpenProj,no,unk,yes,CPAL,Java
OpenProject,yes,yes,yes,GPL,Ruby on Rails and AngularJS
OnlyOffice,yes,yes,yes,GPL,ASP.NET
Oracle Primavera EPPM (Primavera P6),yes,yes,yes,Proprietary,
phpGroupWare,yes,unk,unk,GPL,PHP
PHProjekt,yes,unk,unk,LGPL,PHP
Pivotal Tracker,yes,no,yes,unk,Ruby
Plandora,yes,yes,unk,LGPL,Java
Planisware,yes,yes,yes,Proprietary,
PLANTA Project,yes,yes,no,Proprietary,
Project Builder,yes,yes,yes,Proprietary,
Project KickStart,no,yes,unk,Proprietary,
Project Team Builder,yes,yes,yes,Proprietary,
Projector PSA,yes,yes,yes,Proprietary,
ProjectLibre,no  (Cloud based version under development),yes,no (Included in future plans),CPAL,Java
ProjectManager.com,yes,no,yes,Proprietary,
Project.net,yes,yes,yes,GPL,Java
Projectplace,yes,no,yes,Proprietary,
Projektron BCS,yes,yes,yes,Proprietary,Java
ProjeQtOr,yes,yes,yes,AGPL,PHP
Proliance,yes,yes,yes,Proprietary,
ProjectLink,yes,yes,yes,Proprietary,
Prolog,yes,yes,yes,Proprietary,
Priority Matrix,yes,no,yes,Proprietary
Pyrus,yes,yes,yes,Proprietary,
RationalPlan,yes,yes,yes,Proprietary,
Realisor,no,yes,no,Proprietary,
Redbooth,yes,yes,yes,AGPL; Proprietary (version 4),Ruby on Rails
Redmine,yes,yes,yes,GPL,Ruby
Rillsoft Project  ; Integration Server,yes,yes,yes,Proprietary,C++ and PHP
RiskyProject,yes,yes,yes,Proprietary,
SAP Business ByDesign,yes,unk,yes,Proprietary,
Sciforma,yes,yes,yes,Proprietary,
Scoro,yes,no,yes,Proprietary,PHP
Seavus Project Viewer (software),Yes,Yes,Yes,Proprietary,C++
Severa,yes,unk,yes,unk,
Smartsheet,yes,unk,yes,Proprietary,PHP
Spider Project,no,no,no,Proprietary
Streamtime Software,yes,no,yes,Proprietary,PHP
TACTIC,yes,yes,yes,Eclipse Public License,Python
Talygen,yes,no,yes,Proprietary,ASP.NET
TaskJuggler,no,yes,no,GPL,Ruby
Teamcenter,yes,yes,yes,Proprietary,
TeamDynamixHE,yes,yes,yes,Proprietary,
Teamwork.com,yes,no,yes,Proprietary,
Toms Planner,yes,unk,unk,Proprietary,
Trac,yes,yes,yes,(modified) BSD license,Python
TrackerSuite.Net,yes,yes,yes,Proprietary,
Traction TeamPage,yes,yes,yes,Proprietary,Java
Trello,yes,no,yes,Proprietary,"Mustache templating language, MongoDB, Node.js, Socket.io"
Triskell,Yes,No,Yes,Proprietary,Java
Tuleap,Yes,Yes,Yes,GPL,
Twproject,yes,yes,yes,Proprietary,
UniPhi,yes,yes,yes,Proprietary,ASP.NET
Vpmi,yes,unk,unk,Proprietary,
web2project,yes,unk,unk,GPL,PHP
Workamajig,yes,yes,yes,Proprietary,
Workfront,yes,no,yes,Proprietary,
WorkPLAN Enterprise,no,unk,unk,Proprietary,
workspace.com,yes,unk,yes,Proprietary,
Wrike,yes,unk,yes,Proprietary
Zoho Projects,yes,no,yes,Proprietary,PHP
