[],
24,|{{Flagicon|Pakistan}} [[Pakistan]],|{{Flagicon|Pennsylvania}} [[Pennsylvania]] {{Flagicon|Idaho}} [[Idaho]],1255,
25,|{{Flagicon|Malaysia}} [[Malaysia]],|{{Flagicon|Illinois}} [[Illinois]] {{Flagicon|Mississippi}} [[Mississippi]],931,
26,|{{Flagicon|Argentina}} [[Argentina]],|{{Flagicon|Illinois}} [[Illinois]] {{Flagicon|New Mexico}} [[New Mexico]],920,
27,|{{Flagicon|Netherlands}} [[Netherlands]] ''([[European Union|EU]])'', |{{Flagicon|Illinois}} [[Illinois]] {{Flagicon|New Mexico}} [[New Mexico]],916,
28,|{{Flagicon|Philippines}} [[Philippines]],|{{Flagicon|Illinois}} [[Illinois]] {{Flagicon|North Dakota}} [[North Dakota]],876,
29,|{{Flagicon|South Africa}} [[South Africa]],|{{Flagicon|Ohio}} [[Ohio]] {{Flagicon|Mississippi}} [[Mississippi]] ,766,
30,|{{Flagicon|Colombia}} [[Colombia]],|{{Flagicon|Ohio}} [[Ohio]] {{Flagicon|Maine}} [[Maine]],714,
31,|{{Flagicon|Bangladesh}} [[Bangladesh]],|{{Flagicon|Ohio}} [[Ohio]] {{Flagicon|Wyoming}} [[Wyoming]],687,
32,|{{Flagicon|UAE}} [[UAE]],|{{Flagicon|Ohio}} [[Ohio]] {{Flagicon|Wyoming}} [[Wyoming]],687,
33,|{{Flagicon|Iraq}} [[Iraq]],|{{Flagicon|Ohio}} [[Ohio]] {{Flagicon|Massachusetts}}[[Massachusetts]],659,
34,|{{Flagicon|Vietnam}} [[Vietnam]],|{{Flagicon|New Jersey}} [[New Jersey]] {{Flagicon|Wyoming}} [[Wyoming]],647,
35,|{{Flagicon|Algeria}} [[Algeria]],|{{Flagicon|North Carolina}} [[North Carolina]],633,
36,|{{Flagicon|Belgium}} [[Belgium]] ''([[European Union|EU]])'', |{{Flagicon|Massachusetts}} [[Massachusetts]],529,
37,|{{Flagicon|Singapore}} [[Singapore]],|{{Flagicon|Massachusetts}} [[Massachusetts]],527,
38,|{{Flagicon|Sweden}} [[Sweden]] ''([[European Union|EU]])'', |{{Flagicon|Virginia}} [[Virginia]],521,
39,|{{Flagicon|Switzerland}} [[Switzerland]],|{{Flagicon|Virginia}} [[Virginia]],517,
40,|{{Flagicon|Romania}} [[Romania]] ''([[European Union|EU]])'', |{{Flagicon|Maryland}} [[Maryland]] {{Flagicon|Hawaii}} [[Hawaii]],482,
41,|{{Flagicon|Kazakhstan}} [[Kazakhstan]],|{{Flagicon|Maryland}} [[Maryland]] {{Flagicon|New Hampshire}} [[New Hampshire]],478,
42,|{{Flagicon|Hong Kong}} [[Hong Kong]],|{{Flagicon|Maryland}} [[Maryland]] {{Flagicon|Maine}} [[Maine]],455,
|{{Flagicon|Chile}} [[Chile]],|{{Flagicon|Maryland}} [[Maryland]] {{Flagicon|Maine}} [[Maine]],451,
43,|{{Flagicon|Austria}} [[Austria]] ''([[European Union|EU]])'', |{{Flagicon|Maryland}} [[Maryland]] {{Flagicon|South Dakota}} [[South Dakota]],440,
44,|{{Flagicon|Peru}} [[Peru]],|{{Flagicon|Indiana}} [[Indiana]] {{Flagicon|Maine}} [[Maine]],424,
45,|{{Flagicon|Venezuela}} [[Venezuela]],|{{Flagicon|Indiana}} [[Indiana]],381,
46,|{{Flagicon|Norway}} [[Norway]],|{{Flagicon|Indiana}} [[Indiana]],381,
47,|{{Flagicon|Czech Republic}} [[Czech Republic]] ''([[European Union|EU]])'', |{{Flagicon|Indiana}} [[Indiana]],376,
48,|{{Flagicon|Ukraine}} [[Ukraine]],|{{Flagicon|Indiana}} [[Indiana]],369,
49,|{{Flagicon|Qatar}} [[Qatar]],|{{Flagicon|Tennessee}} [[Tennessee]],348,
50,|{{Flagicon|Ireland}} [[Ireland]] ''([[European Union|EU]])'', |{{Flagicon|Colorado}} [[Colorado]],344,
,
