,,[http://www.sorbs.net/ http.dnsbl],http.dnsbl.sorbs.net,Open HTTP proxy servers,Feeder servers,Until delisting requested.,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ socks.dnsbl],socks.dnsbl.sorbs.net,Open SOCKS proxy servers,Feeder servers,Until delisting requested.,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ misc.dnsbl],misc.dnsbl.sorbs.net,Additional proxy servers,Feeder servers,Until delisting requested.,Those not already listed in the HTTP or SOCKS databases,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ smtp.dnsbl],smtp.dnsbl.sorbs.net,Open SMTP relay servers,Feeder servers,Until delisting requested.,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ web.dnsbl],web.dnsbl.sorbs.net,IP addresses with vulnerabilities that are exploitable by spammers (e.g. FormMail scripts),Feeder servers,Until delisting requested or Automated Expiry,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ new.spam.dnsbl],new.spam.dnsbl.sorbs.net,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 48 hours,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on spam.dnsbl.sorbs.net,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ recent.spam.dnsbl],recent.spam.dnsbl.sorbs.net,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last 28 days,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on spam.dnsbl.sorbs.net,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ old.spam.dnsbl],old.spam.dnsbl.sorbs.net,Hosts that have sent spam to the admins of SORBS or SORBS Spamtraps in the last year,SORBS Admin and Spamtrap,Renewed every 20 minutes based inclusion in on spam.dnsbl.sorbs.net,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ spam.dnsbl],spam.dnsbl.sorbs.net,Hosts that have allegedly sent spam to the admins of SORBS or SORBS Spamtraps at any time,SORBS Admin and Spamtrap.,Until delisting requested.,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ escalations.dnsbl],escalations.dnsbl.sorbs.net,Netblocks of service providers believed to support spammers,SORBS Admin fed.,Until delisting requested and matter resolved.,Service providers are added on receipt of a third strike spam,yes,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ block.dnsbl],block.dnsbl.sorbs.net,Hosts demanding that they never be tested,Request by host,N/A,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ zombie.dnsbl],zombie.dnsbl.sorbs.net,Hijacked networks,SORBS Admin (manual submission),Until delisting requested.,,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ dul.dnsbl],dul.dnsbl.sorbs.net,Dynamic IP address ranges,SORBS Admin (manual submission),Until delisting requested.,Not a list of dial-up IP addresses,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ noservers.dnsbl],noservers.dnsbl.sorbs.net,No Servers Permitted by ISP Policy,Netblock Owner Administered,Not Applicable.,No Servers Permitted by ISP Policy,no,{{yes|Via SORBS Report Manager}}
,,[http://www.sorbs.net/ rhsbl],rhsbl.sorbs.net,Aggregate RHS zones,N/A,N/A,,no,{{no}}
,,[http://www.sorbs.net/ badconf.rhsbl],badconf.rhsbl.sorbs.net,Domains with invalid A or MX records in DNS,Open submission via automated testing page.,Until delisting requested.,,no,{{no}}
,,[http://www.sorbs.net/ nomail.rhsbl],nomail.rhsbl.sorbs.net,Domains which the owners have confirmed will not be used for sending email,Owner submission,Until delisting requested.,,no,{{no}}
,Spamhaus,[http://www.spamhaus.org/sbl SBL Advisory],sbl.spamhaus.org," Verified sources of spam, including spammers and their support services, per [http://www.spamhaus.org/sbl/policy/ policy]",Manual," From five minutes to a year or more, depending on issue and resolution",,Rarely (escalation),yes (partial)
,,[http://www.spamhaus.org/xbl XBL Advisory],xbl.spamhaus.org," Illegal third-party exploits (e.g. open proxies, email spambots, malware download sites and botnets)",Third-party with automated additions," Varies, under a month, self removal via Composite Blocking List lookup.",Consists of the Composite Blocking List,no,{{no}}
,,[http://www.spamhaus.org/pbl PBL Advisory],pbl.spamhaus.org," Addresses not meant to be initiating SMTP connections, such as residential dynamic IPs"," Manual, by providers controlling the IPs or by Spamhaus PBL Team",Self-removal (see spamhaus web site),Should not be confused with the MAPS DUL and Wirehub Dynablocker lists,no,{{no}}
,,[http://www.spamhaus.org SBL+XBL],sbl-xbl.spamhaus.org,A single lookup for querying the SBL and XBL databases,,,,As per component list,{{n/a|As per component list}}
,,[http://www.spamhaus.org/zen Zen],zen.spamhaus.org," A single lookup for querying the SBL, XBL and PBL databases.",,,Preferred list to check all Spamhaus listings with one query.,As per component list,{{n/a|As per component list}}
,ORBITrbl Aggressive RBL,[http://www.orbitrbl.com RBL],rbl.orbitrbl.com,Unsolicited bulk/Commercial email senders (/24 IP address block),Feeder servers,Until delisting requested? (Only when found to not be a spam source)Their web server is down 2014-11-17 - Their RBL server is reporting all queries as SPAM.,Aggregate zone,Yes,No
,Composite Blocking List,[https://web.archive.org/web/20070716052425/http://cbl.abuseat.org/ CBL]," cbl.abuseat.org (also free available rsync access, on request see FAQ )"," Only IP addresses exhibiting characteristics specific to open proxies, spamware, malware downloaders, botnets and the like."," Automatic: large spamtraps, production mail servers and other detection methods."," Less than a month after last listable event, self-removal via CBL lookup.",Use Spamhaus XBL or Spamhaus Zen instead; they include CBL.,no,no
,IBM DNS Blacklist,[http://www-01.ibm.com/support/docview.wss?uid=swg21436643 Cobion],dnsbl.cobion.com,,,,This DNSBL zone is part of the default configuration for Proventia Mail Security System and Lotus Protector for Mail Security,no,no
,Passive Spam Block List,[http://psbl.surriel.com/ PSBL],psbl.surriel.com(also free available via rsync [http://psbl.surriel.com/howto/]),IP addresses used to send spam to trap,spamtraps," Temporary, until spam stops",,no,no
,DNSRBL - DNS Real-time Blackhole List,[http://dnsrbl.org/ DNSRBL],dnsrbl.org,IP addresses used to send spam to trap,spamtraps," Temporary, until spam stops",,no,no
,Weighted Private Block List,[http://www.wpbl.info/ WPBL],db.wpbl.info,IP addresses used to send UBE to members,spamtraps," Temporary, until spam stops",,no,no
,Protected Sky RBL,[https://web.archive.org/web/20150829034159/http://bad.psky.me/ RBL],bad.psky.me,IP Reputation based. Seems to be proprietary.," Automatic, ""based on several factors""."," Temporary. Has self removal, users can not request delisting.",Accused by Spamhaus of unauthorized and undisclosed listings reuse.,Yes,No
,SpamCop Blocking List,[http://spamcop.net/bl.shtml SCBL],bl.spamcop.net,IP addresses which have been used to transmit reported email to SpamCop users,Users submit," Temporary, until spam stops, has self removal",,no,yes (partial)
,SpamRats,[http://www.spamrats.com RATS-NoPtr],noptr.spamrats.com," IP addresses detected as abusive at ISPs using MagicMail Servers, with no reverse DNS service",Automatically Submitted," Listed until removed, and reverse DNS configured",,yes,no
,,[http://www.spamrats.com RATS-Dyna],dyna.spamrats.com," IP addresses detected as abusive at ISPs using MagicMail Servers, with non-conforming reverse DNS service (See Best Practises) indicative of compromised systems",Automatically Submitted," Listed until removed, and reverse DNS set to conform to Best Practises",,yes,{{no}}
,,[http://www.spamrats.com RATS-Spam],spam.spamrats.com," IP addresses detected as abusive at ISPs using MagicMail Servers, and manually confirmed as spam sources",Manually Submitted,Listed until removed,,yes,{{no}}
,,[http://www.spamrats.com/rats-auth.php RATS-Auth],auth.spamrats.com,IP addresses detected probing passwords or authenticating without sending mail,Automatically Submitted,Listed until removed,,yes,{{no}}
SpamCannibal,[http://spamcannibal.org/ spamcannibal.org],bl.spamcannibal.org,IP addresses and related generic netblocks that have sent spam.,spamtraps,Until removal requested and matter resolved by changing server DNS ptr record to a non-generic name.," Even if a particular IP has not sent spam, it may be included in a generic netblock which will provide many false positives. listed=127.0.0.2 Offline since 2018-05-30.",Yes,No
,Distributed Realtime Blocking List,[http://www.drbl.ru/ drand DRBL node],spamtrap.drbl.drand.net,IP addresses used to send spam to traps or members,Automated [de]listing.," Varies from spam type, rate and other sophisticated factors. 30 s to 1 week.",High IP network aggregate threshold greater than or equal 254. Offline since 2010.,Yes,No
,Junk Email Filter,[http://wiki.junkemailfilter.com/index.php/Spam_DNS_Lists Hostkarma],hostkarma.junkemailfilter.comblacklist.hostkarma.com,Detects viruses by behavior using fake high MX and tracking non-use of QUIT,Automated [de]listing,Black list Data lives for 4 days. White list data lives for 10 days.,127.0.0.1=white 127.0.0.2=black 127.0.0.3=yellow,yes,no
,The Abusive Hosts Blocking List (AHBL),[http://www.ahbl.org/ dnsbl],dnsbl.ahbl.org," Aggregate zone, contains UCE/bulk email senders, open proxies, open relays, trojaned/infected machines, comment/trackback spammers"," Feeder systems, manual"," Until delisting requested As announced, all public zones are no longer functioning (they return positive responses for all queries)",Aggregate zone (all aggregates and what they include are listed on AHBL),Yes,no
,,[http://www.ahbl.org/ rhsbl],rhsbl.ahbl.org," Domains sending spam, domains owned by spammers, comment spam domains, spammed URLs",Manual,,,{{yes|{{strikethrough|Yes}}}},{{no|{{strikethrough|No}}}}
,,[http://www.ahbl.org/ ircbl],ircbl.ahbl.org," Subset of dnsbl, contains only open proxies, compromised machines, comment spammers",Until delisting requested,,Designed for use on IRC servers,{{yes|{{strikethrough|Yes}}}},{{no|{{strikethrough|No}}}}
,Quorum.to,[http://www.quorum.to/ ip-dnsbl],list.quorum.to. ( or per-subscriber: [id].list.quorum.to. ),Stop spam from hosts that send no legitimate mail (list most non-mail-sending hosts).," Listings based on ""instant"" automated checks, recipient nomination and traps.",Listings can be challenged.  Subscribers vote to decide sender status.," Public list follows standard dnsbl protocol.  Subscription based service is more capable, but does not follow standard.",Yes,No
," Heise Zeitschriften Verlag GmbH  ; Co. KG, hosted by manitu GmbH",[http://www.dnsbl.manitu.net/ NiX Spam (nixspam)],ix.dnsbl.manitu.net," Lists single IPs (no IP ranges) that send spam to spamtraps. Lists mailhosts, rather than domains, and thus blocks entire hosting providers and ISPs."," Automated listing due to spamtrap hits. Exceptions apply to bounces, NDRs and whitelisted IPs.",12 hours after last listing or until self delisting,TXT records provide information of listing incident - NiX Spam also provides hashes for fuzzy checksum plugin (iXhash) for SpamAssassin.,no,yes (for ISPs/ESPs on request)
,inps.de,[http://dnsbl.inps.de/?lang=en inps.de-DNSBL],dnsbl.inps.de,Single IP addresses," IP addresses can be reported as known spam sources by users, additionally automated listing if spam arrives at the mailservers of inps.de",IP addresses are listed until they are removed manually via the website.," A- and TXT records are available for each entry; Removal is free after 30 days for automatic additions and after 7 days for manual additions; otherwise removal fee is at least EUR 10,00.",maybe,no
,blocklist.de [https://www.blocklist.de],[http://www.blocklist.de/en/api.html#dns dnsbl],bl.blocklist.de," IP-Addresses who Attacks other Server/Honeypots over ssh, imap, smtp, ftp, web, rfi, sqli, ddos....",Automatic: over Honeypots and with over 515 Users and 630 Servers from blocklist.de via Fail2Ban or own scripts,Automatic: 48 Hours after the last Attack. But earlier remove is available over the Delist-Link,Services are free. Source data is from Honeypot-Systems and over 515 User with 630 Servern there reports Attacks with Fail2Ban,no,yes
,SRN:SurGATE Reputation Network,[http://www.srntools.com SRN],srnblack.surgate.net,"Spam sources, relay abusers",Feeder servers,Automatic expiry (varies by type); webpage allows delisting,Removal requests are quickly and manually reviewed and processed without fees.,yes,no
,s5h.net Internet Services,[http://www.usenix.org.uk/content/rbl.html s5h.net],all.s5h.net," Spam sources from email, forums, referrer spam and dictionary attacks",Traps,Twelve months unless ISPs request removal earlier,By request. ISPs can provide request exclusion.,yes,no
,MegaRBL,[http://www.megarbl.net RBL],rbl.megarbl.net,IP addresses used to send spam to traps," spamtraps, in order to avoid abusive reports (Competitors, false positive, etc...) only MegaRBL team can add an IP to the list."," Until delisting requested, which is impossible."," Removal requests are impossible, since the necessary login after registration fails every time. So without possibility to log in there is really no way to place a removal request. Once listed on MegaRBL an IP stays there forever. Maybe preparation for upcoming business model to earn much money with a removal service. Should not be considered a serious source for blacklist info. Domain expired in November, 2019 and service is discontinued.",no,yes
,realtimeBLACKLIST.com,[https://realtimeblacklist.com/ RBL],rbl.realtimeblacklist.com,Spam Trap,List of IP addresses that sends spam or causing troubles with botnets or phishing,Until delisting requested.,Removal requests will be investigated and processed within 24 hours of submission.Previously known as IPrange.net RBL Project,no,no
,James Sawyer,[https://github.com/tg12/UnreputableDomainsList Blocklist],security.jamessawyer.co.uk," Collection of Bad Actors from various sources, Works great with PiHole for personal use. "," Spammers, Scammers, Malware, Cryptominers, TOR, botnets, phishing, attackers, harvesters, exfiltration etc. Basically anything and everything ""bad"" ",Until delisting requested.,Removal requests will be investigated. Contact details provided.,yes,no
,BarracudaCentral,[http://www.barracudacentral.org/rbl RBL],b.barracudacentral.org,Spam Trap,Provides a list of IP addresses which are sending spam. The Barracuda Reputation system uses automated collection methods to add and delete IP addresses from the BRBL.,Until delisting requested.,Requires registration of administrator and hosts to use. Removal requests are typically investigated and processed within 12 hours of submission if provided with a valid explanation.,no,no
,SPFBL.net,[https://spfbl.net/en/dnsbl RBL],dnsbl.spfbl.net," Bad reputation, difficult to identify the responsible, dynamic IP, SLAAC flag without genuine email service and inappropriate use of the URL",Provides a list of IPv4/IPv6 addresses and domains which are sending spam or phishing.,Until delisting requested or seven days with good reputation.,The feedback system runs at SMTP layer. See https://spfbl.net/en/feedback,yes,yes
,Virbl,[http://virbl.bit.nl/about.php RBL],virbl.dnsbl.bit.nl,IP addresses that recently sent viruses.,2 virus mails sent to an associated system.,Automatic delisting. Listed as long as there were more than 2 virus mails sent in the last week. Offline Since May 2016,,No,No
[http://www.lashback.com LashBack],[http://blacklist.lashback.com UBL],ubl.unsubscore.com,IP addresses which have sent email to addresses harvested from suppression (opt-out) files,Traps,For 30 days after last offending message unless removal is requested,,No,No
The NordSpam Project,[https://www.nordspam.com NordSpam IP Blacklist],bl.nordspam.com," IP addresses detected as unsolicited bulk/commercial email senders, webspam",Manual,Until delisting requested.,Removal requests are manually reviewed and processed without fees.,Rarely (escalation),Sometimes
,,[https://www.nordspam.com NordSpam Domain Blacklist],dbl.nordspam.com," Unsolicited bulk/commercial email senders, webspam",Manual,Until delisting requested.,Removal requests are manually reviewed and processed without fees.,No,{{Sometimes}}
[http://0spam.fusionzero.com 0Spam Project],[http://0spam.fusionzero.com DNSBL],0spam.fusionzero.com,Spam Traps," A single IP(127.0.0.#) is listed upon sending spam to a spam trap, sending from multiple IPs within a range within a short period of time will result in a class C listing(127.0.#.0).",Until an IP owner/authorized admin requests listing removal.," Single IP Listed with Data result 127.0.0.# Class C IP Block Listed with Data result 127.0.#.0 Codes are as follows: (ie. General spam single IP result 127.0.0.1 )  # general spam, Sending spam to our spam traps. # Removal request made but missing required information, please make a new request and be sure to complete the form properly. # Does not follow valid can-spam rules for newsletters / lists.  # Not RFC compliant, server errors or improper configuration.  # Repeat offenders, these are IPs that have been removed and listed again (3) or more times in a short period of time. # Bouncing email to the wrong server, RFC-non-compliant configurations.  # Relay or Open relay with reports of spam. # bouncing spoofed emails, you need to disable bounce of spoofed emails in order to get de listed. # Fraud/Scam emails, malware or illegal/abusive content. ",No,No
