System," Documentation integration/generation, reporting",Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA,Plugin API,Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
Jira," Yes, Dashboard with reporting widgets (Open Social) Excel, Word, customizable charts, Confluence (Enterprise wiki)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes Uses Lucene,No
Launchpad,Yes,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,No
MantisBT," Yes, Integration of MediaWiki, DokuWiki, XWiki",No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Microsoft Dynamics CRM," Yes, reporting: integrated charts and reports, export to Excel, Mail Merge",No,Yes,Yes,Yes,No,Yes,unk,,,,No
org-mode," Yes, org-mode has built-in export to HTML, Latex, .md and literate programming capabilities for multiple languages in a single document",No,Yes,Yes,Yes,No,No,Yes,Yes,,,No
OTRS," Yes, Advanced reporting, configurable dashboards",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Phabricator," Yes, integrated wiki and limited burn down charts",Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Pivotal Tracker," Yes, real time collaborative story backlog, integrated reports, email notification",Yes,No,Yes,No,No,Yes,Yes,,,,No
Redmine," Yes, integrated wiki, discussion forums, news blogs, email integration, calendars, Gantt Charts, RSS, export to PDF, export to Excel/CSV",Yes,Yes,Yes,Yes,optional,Yes,Yes,Yes," optional, when using PostgreSQL",optional,Yes
Request Tracker," Yes, MediaWiki",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No
Roundup," Yes, wiki can be integrated or linked",No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes with issues,Yes,No
StarTeam,No,Yes,Yes,No,Yes,No,No,unk,,,,No
Supportworks," Yes - Integrated reporting wizard, customizable CSV, asset management tool",No,Yes,No,Yes,Yes,Yes,unk,,,,No
SysAid," Yes - LDAP/integrated Asset Management, integrated reporting, SSO, custom fields, export to CSV/PDF, KB",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,unk,No,No
Team Foundation Server," Yes - workflow definitions, process documentation",Yes,Yes,Yes,Yes,No,Yes,Yes,,,,No
Teamwork,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes Uses Lucene,,No
TestTrack," Yes - Advanced reporting, integrated charts, export to Excel, workflow with triggers",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No
Trac," Yes, integrated wiki",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes
TrackerSuite.Net,Yes. Dashboards. Graphical reports. Integration with Crystal Reports. Reports can be exported to Microsoft Excel.,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Tuleap," Yes, Kanban boards, Scrum planning and burndown charts, pies, Gantt, barrs, cardwall, Document Manager with approval workflow and fine grained permissions, wikis",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes with plugin fulltext,Yes with plugin fulltext,No,No
Usersnap," Yes. Dashboards, Help Center.",No," Yes, via Tags.",Yes,Yes," Yes, available for enterprise plans",Yes,Yes,Yes,Yes,N/A,No
Wrike," Yes, real-time customized reports, export to Excel, scheduled reports by mail, alerts, discussions, Gantt charts,",No,Yes,Yes,Yes,No,Yes,Yes,unk,,,No
YouTrack," Yes: Wiki syntax, custom workflow, custom issue attributes, notifications (email, jabber, RSS, etc.), email integration, reports, export to HTML and CSV, integration with VCSs.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (Uses Lucene),,No
System,Dynamic documentation integration/generation,Test planning integration,Customizable workflow,Unicode support,Custom fields,SLA,Plugin API,Multiple projects,Full-text search,Indexed full-text search,Indexed file search,Edit conflict warning
