Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open  source?,User Interface Language(s),Imports,Exports,Scripting support
gEDA,1.8.220130925p=1br=1df=yes,yes,yes,yes,yes,yes,Mac,yes,en,"  gschem netlists, image as background"," Gerber, Excellon, SVG, PDF, EPS, PNG, GIF, JPEG, Specctra, XYRS",yes
KiCad,5.1.6 20200515p=1br=1df=yes,yes,Internal:NgspiceExternal:SPICE netlist export,yes,yes,yes,Mac,yes," zh_CN, de, en, es, fr, it, pt, ru, ja, pl, cz"," TinyCAD net lists, OrCAD EDIF, EAGLE (XML)"," PDF, Gerber, Gerber X2, Excellon, netlist, VRML2, STEP, IDFv3",Python
Micro-Cap(end-of-life),12.0.2.320191118p=1br=1df=yes,yes,yes,no,no,yes,Wine,No," en, jp"," HSPICE, PSPICE, SPICE3, netlists, Images, IBIS, Touchstone"," SPICE text file, netlist, BOM, Protel, Accel, OrCad, PADS netlists, Schematic and Analysis Plots Images, Numeric Output Text, Excel",
Multisim by National Instruments,14.220190519p=1br=1df=yes,yes,yes,yes,no,yes,Web application,No,en," MS*, MP*, EWB, Spice, OrCAD, UltiCap, Protel, Gerber, DXF, Ultiboard 4 ;5, Calay"," BOM, Gerber, Excellon, IGES (3D), DXF (2D  ; 3D), SVG"
OrCAD,17.2201610p=1br=1df=yes,yes,yes,yes,no,yes,no,No,en," EAGLE, PADS, Altium, STEP, DXF, IDF, IDX, OrCAD SDT, OrCAD Layout,OrCAD"," PDF, Gerber, Gerber X2, Excellon drill/route, netlist, ODB++, DXF, IDF, IDX, STEP,3D PDF, IPC2581"," Tcl/TK, SKILL (Lisp)"
pcb-rnd,2.2.420200909p=1br=1df=yes,no,external: OpenEMS,yes,yes,yes,Mac,yes,en,"  gschem netlists, Protel Autotrax, KiCad (legacy  ; s-expr layouts), EAGLE (XML  ; v3,4,5 binary layouts), eeschema netlists, mentor netlists, TinyCad netlists, Calay netlist, FreePCB/easyEDA netlist, LT-Spice, MUCS, Specctra, Mentor Graphics Hyperlynx, image (BMP, JPG, GIF, PNG), HPGL, BXL"," Gerber/[Excellon formatdrill],SVG, PDF, EPS, PNG, GIF, JPEG, Specctra, Protel Autotrax, KiCad (legacy  ; s-expr), DXF, FidocadJ, Mentor Graphics Hyperlynx, template configurable XYRS/BOM"," Python, lua, perl, tcl, AWK (multiple dialects), lisp  ; scheme (multiple dialects), javascript, ruby, pascal, BASIC"
Pulsonix by WestDev Ltd,10.020181001p=1br=1df=yes,yes,yes,yes,no,yes,Wine,No,en,"  Allegro, Altium, CadStar, EAGLE, OrCAD, PADS, P-CAD, Protel, Gerber, STEP, DXF, IDF, more"," Gerber, Gerber X2, Excellon, ODB++, IPC-2581, PDF, DXF, STEP, IDF, BOM, more"," Proprietary language, ActiveX"
TARGET 3001!,20.3.0.6420190429p=1br=1df=yes,yes,yes,yes,no,yes,no,No," en, de, fr"," EAGLE, DXF, Gerber, Gerber, Excellon, BMP, CXF, STEP 3D"," Gerber, Gerber X2, Excellon, EAGLE, HPGL, G-Code (Milling), CXF, STEP 3D, Excel BOMs, Pick ;Place, GenCAD, FABmaster, IPC D-356, OBJ, POV-Ray, PDF",
Upverter,20190510p=1br=1df=yes,yes,no,yes,yes,yes,Web application,No,en," Altium, OrCad, PDF, OpenJSON, EAGLE"," PDF, Gerber, Excellon, netlist, PADS Layout Netlist, Tempo Automation, Pick and Place CSV, High-Res PNG, STL, CSV-formatted drill chart, CSV-formatted list of all parts",
123D Circuits by Autodesk,N/A," yes, + breadboard",yes,yes,yes,yes,Web application,No,en,EAGLE,Gerber,
Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open  source?,User Interface Language(s),Imports,Exports,Scripting support
