File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Alternate data streams/ forks,Checksum/ ECC
NSS,yes,yes," name=note-31 The local time, time zone/UTC offset, and date are derived from the time settings of the reference/single timesync source in the NDS tree.",name=note-31,yes,name=note-31,yes,dunno," name=note-19 Novell calls this feature ""multiple data streams"". Published specifications say that NWFS allows for 16 attributes and 10 data streams, and NSS allows for unlimited quantities of both.name=note-29 Some file and directory metadata is stored on the NetWare server irrespective of whether Directory Services is installed or not, like date/time of creation, file size, purge status, etc; and some file and directory metadata is stored in NDS/eDirectory, like file/object permissions, ownership, etc.",no
NWFS,yes,dunno,name=note-31,name=note-31,yes,name=note-31,yes,dunno,name=note-19name=note-29,no
ODS-5,yes,yes,yes,dunno,dunno,yes,yes,dunno," name=note-17 Record Management Services (RMS) attributes include record type and size, among many others.",no
APFS,yes,yes,yes,yes,yes,yes,yes,dunno,yes,partial
VxFS,yes,yes,yes,yes,yes,no,yes,dunno,name=note-23,no
UDF,yes,yes,yes,yes,yes,yes,yes,no,yes,no
Fossil,yes," name=note-61 File permission in 9P are a variation of the traditional Unix permissions with some minor changes, e.g. the suid bit is replaced by a new exclusive access bit.",no,yes,yes,no,no,no,no,no
ZFS,yes,yes,yes,yes,yes,yes,yes," name=note-69 Supported on FreeBSD and Linux implementations, support may not be available on all operating systems."," name=note-60 Solaris ""extended attributes"" are really full-blown alternate data streams, in both the Solaris UFS and ZFS.",yes
Btrfs,yes,yes,yes,yes,yes,no,yes,yes,yes,disabling copy-on-write (COW) to prevent fragmentation also disables checksumming
Minix V1,yes,yes,no,no,no,no,no,no,no,no
Minix V2,yes,yes,no,yes,yes,no,no,no,no,no
Minix V3,yes,yes,no,yes,yes,no,no,no,no,no
VMFS2,yes,yes,no,yes,yes,no,no,no,no,no
VMFS3,yes,yes,no,yes,yes,no,no,no,no,no
ISO 9660:1988,no,no,yes,no,no,no,no,no,no,no
Rock Ridge,yes,yes,no," Access times are preserved from the original file system at creation time, but Rock Ridge file systems themselves are read-only.",yes,no," libburnia can back up and restore ACLs with file system creation and extraction programs, but no kernel support exists."," name=note-78libburnia can back up and restore extended attributes and MAC labels with file system creation and extraction programs, but no kernel support exists.",name=note-78,no
" Joliet (""CDFS"")",no,no,yes,no,no,no,no,no,no,no
ISO 9660:1999,no,no,yes,no,no,no,no,no,no,no
High Sierra,no,no,yes,no,no,no,no,no,no,no
SquashFS,yes,yes,no,no,yes,no,no,yes,yes,no
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Alternate data streams/ forks,Checksum/ ECC
