Manufacturer,Module,SOC/SIP Chip,MCU core,RAM,Flash,Antenna,Sleep,TX,RX,TX Power,Sensitivity,PCB Size,Released,Interfacing,Firmware options
,ZICM357SP0  [http://www.cel.com/pdf/datasheets/MeshConnect_EM357_Mini_Modules_DS.pdf datasheet]  [http://www.cel.com/pdf/brochures/meshconnect_em357_mini_pb.pdf brochure],EM357  [http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x.pdf datasheet]  [http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x-short.pdf brochure]," 32 bit,  ARM Cortex  -M3",12 kB,192 kB,PCB Trace Antenna or RF Port for External Antenna,1 μA,31 mA,30 mA,8 dBm,–100 dBm,23.9 mm × 16.6 mm," [http://www.cel.com/pdf/press/cel133.pdf Apr, 2012]"," SPI,  TWI",[http://www.silabs.com/products/wireless/zigbee/Pages/default.aspx ZigBee PRO stack: EmberZNet PRO]
,ZICM3588SP0  [http://www.cel.com/static.do?command=MeshConnectEM3588Mini ;group=5 ;rpart=ZICM3588SP#Data%20Sheet data sheet],SiLabs EM3588 [http://www.silabs.com/Support%20Documents/TechnicalDocs/EM358x.pdf brochure]," 32 bit,  ARM Cortex  -M3",64 kB,512 kB,PCB Trace Antenna or U.FL connector,2.4 μA,44 mA,30 mA,8 dBm,–100 dBm,23.9 mm × 16.6 mm," Mar, 2014"," SPI,  I²S",[http://www.cel.com/userguide.do?command=showByType ;group=5 ;ty=2 CEL ZigBee Stack] [http://www.synapse-wireless.com/ Synapse SNAP Stack]
Digi  International,Series 1 XBee  [https://web.archive.org/web/20090306100200/http://ftp1.digi.com/support/documentation/90000982_A.pdf manual],Freescale MC13193 [http://www.freescale.com/files/rf_if/doc/data_sheet/MC13192.pdf?pspll=1 datasheet],8-bit 689S08A HCS08,4 kB,60 kB,integrated Whip, chip or U.FL connector, RPSMA connector",10 μA, 50 μA",45 mA,50 mA,0 dBm,–92 dBm,24.38 mm × 27.61 mm,[https://web.archive.org/web/20110710125950/http://www.digi.com/news/pressrelease.jsp?prid=279 ;scompany=1 ;sproduct=18 Dec, 2006]",UART,[http://www.digi.com/technology/rf-articles/wireless-zigbee.jsp ZigBee stack], [http://www.digi.com/technology/digimesh/ DigiMesh network protocol]"
,Series 1 XBee-PRO  [https://web.archive.org/web/20090306100200/http://ftp1.digi.com/support/documentation/90000982_A.pdf manual],,,,,,," 250 mA, 340 mA, 180 mA",55 mA," 18 dBm,  10 dBm",–100 dBm,24.38 mm × 32.94 mm,,,
,Series 2 XBee ZB  [https://web.archive.org/web/20090711010517/http://ftp1.digi.com/support/documentation/90000976_C.pdf manual],Ember (now Silicon Labs) EM250 [https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf factsheet]  [https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf datasheet],16-bit  12 MHz  RISC,5 kB,128 kB,,1 μA," 40 mA, 35 mA"," 40 mA, 38 mA"," 3 dBm,  1 dBm"," –96 dBm,  –95 dBm",24.38 mm × 27.61 mm,[https://web.archive.org/web/20110710130035/http://www.digi.com/news/pressrelease.jsp?prid=454 ;scompany=1 ;sproduct=18 Apr, 2008]",,[https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html Ember ZNet]
,Series 2 XBee-PRO ZB  [https://web.archive.org/web/20090711010517/http://ftp1.digi.com/support/documentation/90000976_C.pdf manual],,,,,,10 μA," 295 mA, 170 mA",45 mA," 17 dBm,  10 dBm",–102 dBm,24.38 mm × 32.94 mm,,,
[http://www.dresden-elektronik.de/ Dresden elektronik],deRFmega128-22M00 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push ;docID=1250 datasheet],ATmega128RFA1  [http://www.atmel.com/Images/doc8266.pdf datasheet],8-bit  ATmega,16 kB,128 kB,Chip ceramic antenna,< 1 μA,18 mA,18 mA,+3 dBm,-98 dBm,23.6 mm × 13.2 mm × 3.0 mm,2012,JTAG, SPI,  GPIO",[http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1 MAC stack] [http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1 ZigBee (BitCloud)] [http://www.dresden-elektronik.de/funktechnik/service/download/driver/?L=1 6LoWPAN] [http://www.atmel.com/default.aspx Atmel]
,deRFmega128-22M10 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push ;docID=1250 datasheet],,,,,RF pads,,,,,,19.0 mm × 13.2 mm × 3.0 mm,,,
,deRFmega128-22M12 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push ;docID=1250 datasheet],,,,,,,198 mA,22 mA,+22 dBm,–105 dBm,21.5 mm × 13.2 mm × 3.0 mm,,,
,deRFmega256-23M00 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push ;docID=1250 datasheet],ATmega256RFR2  [http://www.atmel.com/Images/Atmel-8393-MCU_Wireless-ATmega256RFR2-ATmega128RFR2-ATmega64RFR2_Datasheet.pdf datasheet],8-bit  ATmega,32 kB,256 kB,Chip ceramic antenna,< 1 μA,19 mA,11 mA,+3.5 dBm,-98 dBm,23.6 mm × 13.2 mm × 3.0 mm,2013,JTAG, SPI,  GPIO",
,deRFmega256-23M10 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push ;docID=1250 datasheet],,,,,RF pads,,,,,,19.0 mm × 13.2 mm × 3.0 mm,,,
,deRFmega256-23M12 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/service/downloads/documentation/?eID=dam_frontend_push ;docID=1250 datasheet],,,,,,,233 mA,17 mA,23 dBm,–104 dBm,21.5 mm × 13.2 mm × 3.0 mm,,,
,deRFsam3-23M10-2 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/products/radio-modules/oem-derfsam3/description/?L=1 ;eID=dam_frontend_push ;docID=602 datasheet],ATSAM3S4A [http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf datasheet] AT86RF232 [http://www.atmel.com/Images/doc8321.pdf datasheet],32-bit  ARM Cortex  -M3,48 kB,256 kB,RF pads,< 6 μA,45 mA,41 mA,+3 dBm,-100 dBm,21.5 mm × 13.2 mm × 3.0 mm,," JTAG, SPI,  GPIO,  USB",
," deRFsam3-13M10 868, 915 MHz  [http://www.dresden-elektronik.de/funktechnik/products/radio-modules/oem-derfsam3/description/?L=1 ;eID=dam_frontend_push ;docID=603 datasheet]",ATSAM3S4A [http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf datasheet] AT86RF212 [http://www.atmel.com/Images/doc8168.pdf datasheet],,,,,,50 mA,37 mA,+5 or +10 dBm,–110 dBm,21.5 mm × 13.2 mm × 3.0 mm,," JTAG,  SPI,  GPIO,  USB",
,deRFusb-23E00 2.4 GHzdeRFusb-23E06 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push ;docID=1145 datasheet],ATSAM3S4B [http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf datasheet]AT86RF231  [http://www.atmel.com/Images/doc8111.pdf datasheet],32-bit  ARM Cortex  -M3,48 kB,256 kB,Chip ceramic antenna,32 mA,51 mA,45 mA,+3 dBm,-97 dBm,71.0 mm × 23.0 mm × 8.7 mm,2012," USB, optional: JTAG, Debug",
,deRFusb-23E00 JTAG 2.4 GHzdeRFusb-23E06 JTAG 2.4 GHz  [http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push ;docID=1145 datasheet],,,,,,,,,,,63.5 mm × 19.0 mm × 9.5 mm,," USB, JTAG, Debug",
," deRFusb-13E00 868, 915 MHzdeRFusb-13E06 868, 915 MHz [http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push ;docID=1145 datasheet]",ATSAM3S4B  [http://www.atmel.com/Images/Atmel_6500_32-bit-Cortex-M3-Microcontroller_SAM3S_Datasheet.pdf datasheet]AT86RF212 [http://www.atmel.com/Images/doc8168.pdf datasheet],,,,,,,,+9 dBm,-106 dBm,71.0 mm × 23.0 mm × 8.7 mm,," USB, optional: JTAG, Debug",
," deRFusb-13E00 JTAG 868, 915 MHzdeRFusb-13E06 JTAG 868, 915 MHz [http://www.dresden-elektronik.de/funktechnik/products/usb-radio-sticks/derfusb/description/?eID=dam_frontend_push ;docID=1145 datasheet]",,,,,,,,,,,63.5 mm × 19.0 mm × 9.5 mm,," USB, JTAG, Debug",
[http://www.embit.eu/ Embit]," EMB-WMB169PA, 169 MHz [http://www.embit.eu/products/wireless-modules/emb-wmb169pa/ webpage] [http://www.embit.eu/wp-content/datasheets/EMB-WMB-datasheet-latest.pdf datasheet]  [http://www.embit.eu/wp-content/brochures/EMB-WMB.pdf brochure]",MSP430F534x [http://www.ti.com/lit/ds/symlink/msp430f5342.pdf datasheet],16 bit MSP430,10 kB / 8 kB / 6 kB,128 kB / 96 kB / 64 kB," RF Pads, U.FL Connector",<2 μA,57 mA@  +15dBm,27 mA (full sens.),up to  30 dBm,-122 dBm,29 mm × 22 mm,2012," SPI,  JTAG",[http://www.embit.eu/products/firmware-stacks/wmbus/ Wireless M-Bus stack]
," EMB-WMB868, 868 MHz  [http://www.embit.eu/products/wireless-modules/emb-wmb868/ webpage]  [http://www.embit.eu/wp-content/datasheets/EMB-WMB-datasheet-latest.pdf datasheet]  [http://www.embit.eu/wp-content/brochures/EMB-WMB.pdf brochure]",MSP430F534x [http://www.ti.com/lit/ds/symlink/msp430f5342.pdf datasheet],16 bit MSP430,10 kB / 8 kB / 6 kB,128 kB / 96 kB / 64 kB," RF Pads, U.FL Connector",<2 μA,57 mA@ +15dBm,27 mA (full sens.),15 dBm,-122 dBm,29 mm × 22 mm,2012," SPI,  JTAG",[http://www.embit.eu/products/firmware-stacks/wmbus/ Wireless M-Bus stack]
," EMB-Z2530PA, 2.4 GHz  [http://www.embit.eu/products/wireless-modules/emb-z2530pa/ webpage]  [http://www.embit.eu/wp-content/datasheets/EMB-Z2530PA-datasheet-latest.pdf datasheet]  [http://www.embit.eu/wp-content/brochures/EMB-Z2530PA.pdf brochure]",CC2530 [http://www.ti.com/lit/ds/symlink/cc2530.pdf datasheet],8 bit 8051,8 kB,256 kB," PCB Antenna, U.FL Connector, Wire Antenna opt",<1.1 μA,135 mA@ +20dBm,28 mA,20 dBm,-100 dBm,29 mm × 22 mm,2011," SPI,  JTAG"," [http://www.ti.com/tool/timac TIMAC (IEEE 802.15.4)],  [http://www.ti.com/tool/z-stack ZStack (ZigBee)]"
," EMB-ZRF212B, 868 MHz, 915 MHz  [http://www.embit.eu/products/wireless-modules/emb-zrf212/ webpage]  [http://www.embit.eu/wp-content/datasheets/EMB-ZRF212B-datasheet-latest.pdf datasheet]  [https://web.archive.org/web/20131015101157/http://www.embit.eu/wp-content/brochures/EMB-ZRF212.pdf brochure]",ATxmega128D3 [http://www.atmel.com/devices/atxmega128d3.aspx datasheet],8/16 bit AVR XMEGA,8 kB,128 kB," Ceramic Antenna, U.FL Connector, RF pads",1.3 μA,17 mA@ +5dBm,10 mA,10 dBm,–110 dBm,29 mm × 22 mm,2013," SPI,  JTAG"," [http://www.atmel.com/tools/LIGHTWEIGHT_MESH.aspx Atmel Lightweight Mesh],  [http://www.atmel.com/tools/IEEE802_15_4MAC.aspx Atmel MAC (IEEE 802.15.4)],  [http://www.atmel.com/tools/BITCLOUD-ZIGBEEPRO.aspx Atmel BitCloud (ZigBee PRO)]"
," EMB-ZRF231PA, 2.4 GHz  [http://www.embit.eu/products/wireless-modules/emb-zrf231pa/ webpage]  [http://www.embit.eu/wp-content/datasheets/EMB-ZRF231PA-datasheet-latest.pdf datasheet]  [http://www.embit.eu/wp-content/brochures/EMB-ZRF231PA.pdf brochure]",ATxmega256A3U [http://www.atmel.com/devices/atxmega256a3u.aspx datasheet],8/16 bit AVR XMEGA,16 kB,256 kB," PCB Antenna, U.FL Connector, RF pads",<1.1 μA,132 mA@ +20dBm,24 mA,20 dBm,-105 dBm,29 mm x 22 mm,2011," SPI,  JTAG"," [http://www.atmel.com/tools/LIGHTWEIGHT_MESH.aspx Atmel Lightweight Mesh],  [http://www.atmel.com/tools/IEEE802_15_4MAC.aspx Atmel MAC (IEEE 802.15.4)],  [http://www.atmel.com/tools/BITCLOUD-ZIGBEEPRO.aspx Atmel BitCloud (ZigBee PRO)]"
[http://flexipanel.com/ FlexiPanel  Ltd],Pixie  [http://flexipanel.com/Docs/Pixie%20DS481%20Cover%20Page.pdf summary]  [http://flexipanel.com/Docs/Pixie%20DS481.pdf datasheet],Texas Instruments CC2420  [http://www.ti.com/lit/gpn/cc2420 datasheet]  [http://www.ti.com/litv/pdf/swrz003 errata],PIC18LF4620,4 kB,64 kB,integral,2 μA,rowspan="2"  25 mA,,0 dBm,,,Mar, 2008",SPI",[http://www.microchip.com/stellent/idcplg?IdcService=SS_GET_PAGE ;nodeId=1824 ;appnote=en537767 Microchip ZigBee]
,Pixie Lite  [http://flexipanel.com/Docs/Pixie%20DS481%20Cover%20Page.pdf summary]  [http://flexipanel.com/Docs/Pixie%20DS481.pdf datasheet],,PIC18LF2520,1.5 kB,32 kB,,,,,,,,,
[https://www.kirale.com/ Kirale Technologies],KTWM102-11 [https://www.kirale.com/products/ktwm102/ webpage],Microchip ATSAMR21E19A  [https://www.microchip.com/wwwproducts/en/ATSAMR21E19A webpage],32-bit ARM Cortex  -M0+,32 kB,256 kB + 512 kB,on-board chip,5 μA,17 mA,19 mA,4 dBm,-104 dBm,16.6 mm × 11.4 mm × 2.2 mm,2018,UART,  USB,  JTAG",[https://www.kirale.com/news/company-gets-thread-certification/ KiNOS Thread Certified Stack] [http://www.atmel.com/ Atmel]
,KTWM102-21 [https://www.kirale.com/products/ktwm102/ webpage],,,,,W.FL connector,,,,,,,,,
[http://mmbnetworks.com MMB  Networks],Z357PA40  [http://mmbnetworks.com/s/MMB-Networks-Z357PA4x-EM357-ZigBee-Module-Specification-v02-h44f.pdf datasheet],Ember (now Silicon Labs) EM357  [http://www.silabs.com/products/wireless/zigbee/Pages/zigbee-chips-em35x.aspx Overview]  [http://www.silabs.com/Support%20Documents/TechnicalDocs/EM35x.pdf datasheet],32-bit  ARM Cortex  M3,12 kB," 192 kB on-chip, 512 kB on-board"," U.FL, on-board chip ceramic",0.65 μA,175 mA at 20 dBm TX power,32 mA," 20 dBm max.,  software programmable",-106 dBm,34.2 mm × 15 mm × 2.88 mm,2015,UART and  SPI,Embers (now Silicon Labs)  [https://web.archive.org/web/20120717005157/http://www.silabs.com/products/wireless/zigbee/Pages/zigbee-software.aspx EmberZNetPRO] with MMBs  [http://mmbnetworks.com/rapidconnect RapidConnect] family of firmware
NXP,JN5168-001-M00  [https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf Data sheet],JN5168  [http://www.nxp.com/documents/data_sheet/JN516X.pdf Data sheet],32 MHz  32-bit  RISC,32 kB,256 kB,on board,0.15 μA,15 mA,17 mA,2.5 dBm,-95 dBm,16 mm × 30 mm,2013,SPI",[http://www.jennic.com/products/protocol_stacks/jennet JenNet stack]  [http://www.jennic.com/products/protocol_stacks/zigbee ZigBee stack]
,JN5168-001-M03  [https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf Data sheet],,,,,U.FL connector,,,,,,,,,
,JN5168-001-M05  [https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf Data sheet],,,,,U.FL connector,,35 mA,22 mA,9.5 dBm,-96 dBm,16 mm x30 mm,,,
,JN5168-001-M06  [https://web.archive.org/web/20141212060556/http://www.nxp.com/documents/other/JN-DS-JN5168MO-1v2.pdf Data sheet],,,,,U.FL connector,,175 mA,22 mA,22 dBm,-100 dBm,,,,
[http://www.cds.ro/ Control Data Systems],VersaNode 210  [http://www.cds.ro/Documents/Datasheets/VN210.pdf datasheet],MC13224V [http://www.freescale.com/files/rf_if/doc/data_sheet/MC1322x.pdf datasheet],32-bit ARM7,96 kB,128 kB,MMCX Connector,15 μA,60 mA,21 mA,10 dBm,-98 dBm,20 mm × 25 mm,2009," SPI",[http://www.cds.ro/#products Control Data Systems ISA100.11a]
Panasonic,PAN4555  [http://www.dataspherewireless.de/docserver/panasonic/129Datasheet.pdf datasheet],MC1321x [http://www.freescale.com/files/rf_if/doc/data_sheet/MC1321x.pdf datasheet],8-bit MC9S08GT HC08,4 kB,60 kB,RF out or ceramic antenna," 0.25 μA, 1.9 μA, 36 μA, 1.6 mA",36.5 mA,37 mA," –4 dBm,  0 dBm",–92 dBm,12.2 mm × 16.4 mm × 2.2 mm,2008," SPI",[http://www.freescale.com/webapp/sps/site/overview.jsp?code=PROTOCOL_ZIGBEE Freescale Beestack]  [http://www.synapse-wireless.com/ Synapse SNAP Stack]
,PAN4561  [http://www.panasonic.com/industrial/components/modules/portal/downloads/PAN4561.pdf brochure],MC13213 [http://www.freescale.com/files/rf_if/doc/data_sheet/MC1321x.pdf datasheet],,,,SMD RF out, ceramic antenna or U.FL"," 1.6 mA, 50 μA, 16 μA, 2 μA",202 mA,45 mA,20 dBm,–105 dBm,35 mm × 15 mm," [http://www.panasonic.com/industrial/components/modules/portal/downloads/rfmodule_pr1.pdf Jan, 2009]"," UART,  I²C",
,PAN4570  [https://web.archive.org/web/20110719071926/http://www.ecom.panasonic.de/pdf/engl/126Datasheet.pdf datasheet],Ember (now Silicon Labs) EM250  [https://web.archive.org/web/20080512053400/http://www.ember.com/pdf/ember-EM250.pdf factsheet]  [https://web.archive.org/web/20080512032715/http://www.ember.com/pdf/120-0082-000_EM250_Datasheet.pdf datasheet],,,,,16-bit 12 MHz  RISC,5 kB,128 kB," 1 μA, 1.5 μA"," 35.5 mA, 41.5 mA, 28 mA"," 35.5 mA, 37.5 mA"," 3 dBm,  5 dBm,  –32 dBm",–97 dBm,26.5 mm × 20 mm × 2.8 mm,2006," SPI,  I²C",[https://web.archive.org/web/20090204000012/http://www.ember.com/products_zigbee_software.html Ember ZNet Stack]
[http://www.radiocrafts.com/ Radiocrafts],RC2200  [https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf datasheet],Texas Instruments CC2420 [http://www.ti.com/lit/gpn/cc2420 datasheet]  [http://www.ti.com/litv/pdf/swrz003 errata],8-bit  ATmega128,4 kB,128 kB,integrated, MMCX connector or RF on pin connector"," 23 μA, 1.3 μA",27 mA,30 mA,0 dBm,-94 dBm,16.5 mm × 29.2 mm × 3.5 mm,2008,SPI,  JTAG,  ISP",[http://focus.ti.com/docs/toolsw/folders/print/z-stack.html?DCMP=HPA_RFIC_General ;HQS=Other+OT+z-stack Texas Instruments Z-stack]  or any third-party  ZigBee stack
,RC2201  [https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf datasheet],,,8 kB,,,1.3 μA,,,,,,,,
,RC2202  [https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf datasheet],,,2 kB,,,,32 kB,23 mA,,,,,,,26 mA
,RC2204  [https://web.archive.org/web/20090419095214/http://www.radiocrafts.com/uploads/rc220x_data_sheet_1_1.pdf datasheet],,,4 kB,64 kB," 23 μA, 1.3 μA",27 mA,30 mA,,,,,,
,RC2201HP  [https://web.archive.org/web/20090419094927/http://www.radiocrafts.com/uploads/rc2201hp_data_sheet_1_01.pdf datasheet],,8-bit  ATmega1281,8 kB,128 kB,integrated or RF-on-pin connector," 40 μA, 2 μA",140 mA,28 mA,17 dBm,-92 dBm,16.5 mm × 35.6 mm × 3.5 mm,[http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_01_22_RC2201HP.pdf Jan 2008],,
,RC2300  [https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf datasheet],Texas Instruments CC2430  (CC2431  for location  engine option) [http://www.ti.com/lit/gpn/cc2430 datasheet] [http://www.ti.com/litv/pdf/swrz021 errata],8-bit 8051,,,,300 μA, 0.9 μA, 0.6 μA",27 mA,27 mA,0 dBm,,12.7 mm × 25.4 mm × 2.5 mm,[http://www.radiocrafts.com/uploads/Radiocrafts_Press_Release_2008_07_02_ZigBee_Network_Module.pdf Jul 2008],SPI,  proprietary serial  debugging interface",
,RC2301  [https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf datasheet],,,,,,,,,,,,,,
,RC2302  [https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf datasheet],,,,,,,,,,,,,,,32 kB
,RC2304  [https://web.archive.org/web/20090419052427/http://www.radiocrafts.com/uploads/rc230x_data_sheet_1_2.pdf datasheet],,,,,,,,,,,,,,,64 kB
[http://www.rfm.com/ RF Monolithics],ZMN2405  [http://www.rfm.com/products/pdf/zmn2405.pdf datasheet],Texas Instruments CC2430 [http://www.ti.com/lit/gpn/cc2430 datasheet]  [http://www.ti.com/litv/pdf/swrz021 errata],8-bit 8051,8 kB,128 kB,RFIO pad,3 μA,28 mA,27 mA,0 dBm,-92 dBm,30.5 mm × 21.2 mm,2008,SPI,",ZigBee stack, RFMs CSM standard module application profile"
,ZMN2430  [http://www.rfm.com/products/pdf/zmn2430.pdf datasheet],,,,,,,,,,,25 mm × 20.3 mm,,,
,ZMN2430A  [http://www.rfm.com/products/pdf/zmn2430a.pdf datasheet],,,,,built-in,,,,–2 dBm,–90 dBm,25 mm × 26.9 mm,,,
,ZMN2405HP  [http://www.rfm.com/products/pdf/zmn2405hp.pdf datasheet],,,,,RFIO pad,,130 mA,33 mA,17 dBm,-95 dBm,40.6 mm × 21.2 mm,,,
,ZMN2405HPA  [http://www.rfm.com/products/pdf/zmn2405hpa.pdf datasheet],,,,,built-in,,,,15 dBm,,47 mm × 21.2 mm,,,
,ZMN2430HP  [http://www.rfm.com/products/pdf/zmn2430hp.pdf datasheet],,,,,RFIO pad,,,,17 dBm,,30.48 mm × 25 mm,,,
,ZMN2430HPA  [http://www.rfm.com/products/pdf/zmn2430hpa.pdf datasheet],,,,,built-in,,,,15 dBm,,36.83 mm × 25 mm,,,
" [http://www.radiosinc.com/ Radios, Inc.]",MXR-EM20  [http://www.radiosinc.com/Products/Data%20Sheets/Transceiver/MXR-EM20.pdf datasheet],Ember 2420  [https://web.archive.org/web/20110710190342/http://www.ember.com/pdf/EM2420datasheet.pdf datasheet],8-bit  ATmega128L,4 kB,128 kB,RF on pin,20 μA,17.4 mA,19.7 mA,0 dBm,–94 dBm,25.4 mm × 18.4 mm,Oct  2005,SPI,ZigBee stack
[http://www.synapse-wireless.com Synapse],SM220UF1  [http://www.synapse-wireless.com/upl/downloads/industry-solutions/reference/datasheet-synapse-sm220uf1-df89804e.pdf datasheet],ATmega128RFA1  [http://www.atmel.com/Images/doc8266.pdf datasheet],8-bit  ATmega,16 kB,128 kB,PCB Antenna and U.FL connector,0.4 μA,20 dBm: 150 mA 6 dBm: 55 mA,22 mA,20 dBm,–103 dBm,29.8mm × 19mm,2013," SPI,  I²C",[http://www.synapse-wireless.com/ Synapse SNAP Stack]
