[ 
, Lower house
, Upper house
, Ratio
, Total
],
! scope="col" style="width: 105px;" |Legislative branch constitutional name,! scope="col" style="width: 105px;" |Name,! scope="col" style="width: 50px;" |Size,! scope="col" style="width: 50px;" |Term length (years),! scope="col" style="width: 60px;" |Term limit,! scope="col" style="width: 105px;" |Name,! scope="col" style="width: 50px;" |Size,! scope="col" style="width: 50px;" |Term length (years),! scope="col" style="width: 60px;" |Term limit,! scope="col" style="width: 10px;" |Filibuster possible,! scope="col" style="width: 70px;" |Lower to Upper house size,! scope="col" style="width: 70px;" |Total,
| [[Rhode Island General Assembly]],| [[Rhode Island House of Representatives]],| 75 ,| 2,| None,| [[Rhode Island Senate]],| 38,| 2,| None,| No,|1.973684,| 113,
| [[South Carolina General Assembly]],| [[South Carolina House of Representatives]],| 124 ,| 2,| None ,| [[South Carolina Senate]],| 46,| 4,| None,| Yes,|2.695652,| 170,
| [[South Dakota State Legislature]],| [[South Dakota House of Representatives]],| 70 ,| 2,| Four terms,| [[South Dakota Senate]],| 35,| 4,| Two terms,| No,|2,| 105,
| [[Tennessee General Assembly]],| [[Tennessee House of Representatives]],| 99 ,| 2,| None,| [[Tennessee Senate]],| 33,| 4,| None,| No,|3,| 132,
| [[Texas Legislature]],| [[Texas House of Representatives]],| 150 ,| 2,| None,| [[Texas Senate]],| 31,| 2 or 4,| None,| Yes,|4.83871,| 181,
| [[Utah State Legislature]],| [[Utah House of Representatives]],| 75 ,| 2,| None,| [[Utah State Senate]],| 29,| 4,| None,| Yes,|2.586207,| 104,
| [[Vermont General Assembly]],| [[Vermont House of Representatives]],| 150 ,| 2,| None,| [[Vermont Senate]],| 30,| 2,| None,| Yes,|5,| 180,
| [[Virginia General Assembly]],| [[Virginia House of Delegates]],| 100 ,| 2,| None,| [[Senate of Virginia]],| 40,| 4,| None,| No,|2.5,| 140,
| [[Washington State Legislature]],| [[Washington House of Representatives]],| 98 ,| 2,| None,| [[Washington State Senate]],| 49,| 4,| None,| No,|2,| 147,
| [[West Virginia Legislature]],| [[West Virginia House of Delegates]],| 100 ,| 2,| None,| [[West Virginia Senate]],| 34,| 4,| None,| No,|2.941176,| 134,
| [[Wisconsin Legislature]],| [[Wisconsin State Assembly]],| 99 ,| 2,| None,| [[Wisconsin Senate]],| 33,| 4,| None,| No,|3,| 132,
| [[Wyoming Legislature]],| [[Wyoming House of Representatives]],| 60 ,| 2,| None,| [[Wyoming Senate]],| 30,| 4,| None,| No,|2,| 90,
,
