Engine,Origin,Designer,Vehicle,Use,Propellant," name=VSLAt sea level if denoted SL, in vacuum otherwise",name=VSL,Mass (kg),Thrust:Weight is calculated at standard gravity.,Chamber pressure (bar),Oxidiser:zwspfuel ratio
" Largest solid-fuel rocket motor ever flown, and the first to be used for primary propulsion on human spaceflight missions",USA,Thiokol,Space ShuttleAres I,Booster,PBAN ;thinsp;/ ;thinsp;APCP,268," 14,000,000  12,500,000 (SL)"," 590,000  with fuel",,,
SRB-A,JPN,IHI AerospaceJAXA,H-IIA,Booster,HTPB,280," 2,250,000"," 76,400 with fuel",,,
UA1207,USA,United Technologies,Titan IV,Booster,PBAN,272  245 (SL)," 7,116,000  6,410,400 (SL)"," 319,330  with fuel",,,
Viking 2,EUR,Snecma,Ariane 1,1st,N2O4 ;thinsp;/ ;thinsp;UDMH,," 690,000   611,200 (SL)",776,90.67,,
Viking 2B,EUR,Snecma,Ariane 2Ariane 3,1st,N2O4 ;thinsp;/ ;thinsp;UH ;thinsp;25,," 643,000 (SL)",776,84.5,,
Viking 4,EUR,Snecma,Ariane 1,2nd,N2O4 ;thinsp;/ ;thinsp;UDMH,," 713,000",826,88,,
Viking 4B,EUR,Snecma,Ariane 2Ariane 3Ariane 4,2nd,N2O4 ;thinsp;/ ;thinsp;UH ;thinsp;25,," 800,000",826,98.76,,
Viking 5C,EUR,Snecma,Ariane 4,1st,N2O4 ;thinsp;/ ;thinsp;UH ;thinsp;25,," 758,000  678,000 (SL)",826,93.57,,
Viking 6,EUR,Snecma,Ariane 4,Booster,N2O4 ;thinsp;/ ;thinsp;UH ;thinsp;25,," 750,000",826,92.59,,
Vulcain  HM-60,EUR,Snecma,Ariane 5,1st,LH2 ;thinsp;/ ;thinsp;LOX,439  326 (SL)," 1,113,000  773,200 (SL)"," 1,300",84.38,109,
Waxwing,UK,Bristol Aerojet,Black Arrow,Upper,Solid,278  245 (SL)," 29,400  25,900 (SL)",87,34.48,,
