,,Lower house,,,,Upper house,,,,,Ratio,Total
Government of Alabama,Alabama Legislature,Alabama House of Representatives,105,4,None,Alabama Senate,35,4,None,Yes,3,140
Government of South Carolina,South Carolina General Assembly,South Carolina House of Representatives,124,2,None,South Carolina Senate,46,4,None,Yes,2.695652,170
Government of Louisiana,Louisiana State Legislature,Louisiana House of Representatives,105,4,Three terms,Louisiana State Senate,39,4,Three terms,No,2.692308,144
Government of Kentucky,Kentucky General Assembly,Kentucky House of Representatives,100,2,None,Kentucky Senate,38,4,None,No,2.631579,138
Government of Oregon,Oregon Legislative Assembly,Oregon House of Representatives,60,2,None[note 1],Oregon State Senate,30,4,None[note 2],No,2,90
Government of Oklahoma,Oklahoma Legislature,Oklahoma House of Representatives,101,2," Not more than 12 years in either house, combined ",Oklahoma Senate,48,4," Not more than 12 years in either house, combined ",No,2.104167,149
Government of Connecticut,Connecticut General Assembly,Connecticut House of Representatives,151,2,None,Connecticut Senate,36,2,None,Yes,4.194444,187
Government of Iowa,Iowa General Assembly,Iowa House of Representatives,100,2,None,Iowa Senate,50,4,None,No,2,150
Government of Mississippi,Mississippi Legislature,Mississippi House of Representatives,122,4,None,Mississippi State Senate,52,4,None,Yes,2.346154,174
Government of Arkansas,Arkansas General Assembly,Arkansas House of Representatives,100,2,Three terms,Arkansas Senate,35,2 or 4,Two 4 year terms,Yes,2.857143,135
Government of Kansas,Kansas Legislature,Kansas House of Representatives,125,2,None,Kansas Senate,40,4,None,No,3.125,165
Government of Utah,Utah State Legislature,Utah House of Representatives,75,2,None,Utah State Senate,29,4,None,Yes,2.586207,104
Government of Nevada,Nevada Legislature,Nevada Assembly,42,2,Six terms,Nevada Senate,21,4,Three terms,No,2,63
Government of New Mexico,New Mexico Legislature,New Mexico House of Representatives,70,2,None,New Mexico Senate,42,4,None,No,1.666667,112
Government of West Virginia,West Virginia Legislature,West Virginia House of Delegates,100,2,None,West Virginia Senate,34,4,None,No,2.941176,134
Government of Nebraska,Nebraska Legislature,N/A,N/A,N/A,N/A,Unicameral and nonpartisan,49,4,Two terms,Yes,N/A,49
Government of Idaho,Idaho Legislature,Idaho House of Representatives,70,2,None,Idaho Senate,35,2,None,Yes,2,105
Government of Maine,Maine Legislature,Maine House of Representatives,153,2,Four terms,Maine Senate,35,2,Four terms,Yes,4.371429,188
Government of New Hampshire,New Hampshire General Court,New Hampshire House of Representatives,400,2,None,New Hampshire Senate,24,2,None,No,16.66667,424
Hawaii,Hawaii State Legislature,Hawaii House of Representatives,51,2,None,Hawaii Senate,25,4,None,Yes,2.04,76
Government of Rhode Island,Rhode Island General Assembly,Rhode Island House of Representatives,75,2,None,Rhode Island Senate,38,2,None,No,1.973684,113
Government of Montana,Montana State Legislature,Montana House of Representatives,100,2,Four terms,Montana Senate,50,4,Two terms,No,2,150
Government of Delaware,Delaware General Assembly,Delaware House of Representatives,41,2,None,Delaware Senate,21,2 or 4,None,No,1.952381,62
Government of South Dakota,South Dakota State Legislature,South Dakota House of Representatives,70,2,Four terms,South Dakota Senate,35,4,Two terms,No,2,105
Government of Alaska,Alaska Legislature,Alaska House of Representatives,40,2,None,Alaska Senate,20,4,None,Yes,2,60
Government of North Dakota,North Dakota Legislative Assembly,North Dakota House of Representatives,94,4,None,North Dakota Senate,47,4,None,No,2,141
Government of Vermont,Vermont General Assembly,Vermont House of Representatives,150,2,None,Vermont Senate,30,2,None,Yes,5,180
Government of Wyoming,Wyoming Legislature,Wyoming House of Representatives,60,2,None,Wyoming Senate,30,4,None,No,2,90
Politics of the United States Virgin Islands,Legislature of the Virgin Islands,N/A,N/A,N/A,N/A,Unicameral,15,2,None,No,N/A,15
Government of the District of Columbia,Council of the District of Columbia,N/A,N/A,N/A,N/A,Unicameral,13,4,None,N/A,N/A,13
Government of Puerto Rico,Legislative Assembly of Puerto Rico,House of Representatives of Puerto Rico,51,4,None,Senate of Puerto Rico,27,4,None,No,1.888889,78
Government of Guam,Legislature of Guam,N/A,N/A,N/A,N/A,Unicameral,15,2,None,No,N/A,15
Politics of the Northern Mariana Islands,Northern Mariana Islands Commonwealth Legislature,Northern Mariana Islands House of Representatives,20,2,None,Northern Mariana Islands Senate,9,4,None,No,2.222222,29
Politics of American Samoa,American Samoa Fono,American Samoa House of Representatives,21,2,None,American Samoa Senate,18,4,None,No,1.166667,39
