Library Name,,,Supported Chart Types,,,,,,,,,,,,Supported Bar chart Types,,,,,Other Features,Event (computing),,Rendering (computer graphics) Technologies,,,Databinding,HTML 5 Canvas
,Software license,Free,Line chart,Timeline,Scatter plot,Area chart,Pie chart,Donut chart,Bullet graph,Radar chart,Funnel chart,Gantt chart,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legend (chart),Mouse Over,onClick,Canvas element,Scalable Vector Graphics,Vector Markup Language,Databinding on both AXIS x and y (page does not exist),Web Graphics Library
LightningChart JS,Proprietary software,Free for personal and non-commercial uses.[62] Paid for commercial applications.[63],Yes [64],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes
Google Charts,Free[65],Yes[65],Yes,Yes,Yes,Yes,Yes,Yes[66],No,No,Yes[67],Yes[68],Yes,Yes,Yes[69],Yes[70],Yes,Yes[71],Yes,Yes,Yes,Yes[72],Yes,Yes[73],Yes[73],Yes[74]
gRaphael,MIT[75],Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,No,No,Yes[76],No,
" Highcharts, Highstock ",Proprietary software,Free for personal and non-commercial uses.[77] Paid for commercial applications.[78],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[79],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Library Name,,,Supported Chart Types,,,,,,,,,,,,Supported Bar chart Types,,,,,Other Features,Event (computing),,Rendering (computer graphics) Technologies,,,Databinding
,Software license,,Line chart,Timeline,Scatter plot,Area chart,Pie chart,Donut chart,Bullet graph,Radar chart,Funnel chart,Gantt chart,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legend (chart),Mouse Over,onClick,Canvas element,Scalable Vector Graphics,Vector Markup Language,Databinding on both AXIS x and y (page does not exist)
JenScript,BSD LicensesBSD Licenses,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No[81],Yes,No,Yes
jqPlot,MIT or GPLv2[82],Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes[83],No,No,
jqxChart,Proprietary software,Free with a link [84] or commercial[85],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,
JSCharting,Proprietary softwareProprietary software,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,
KoolChart,Proprietary software,Free with a link [87] or commercial[88],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[89],No,Yes,Yes
MetricsGraphics,Mozilla Public License Version 2.0[90],Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,
NextCharts,Apache 2.0[91],Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,Yes
NVD3,Apache 2.0[92],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[93],No,
OLAPCharts,Proprietary software,Free basic edition[94],No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,,
plotly.js,MIT[95],Yes,Yes,Yes[96],Yes,Yes,Yes,Yes,via Bars &amp; Scatter[97],Yes,via Python[98],via Python[99],via Python[100],Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes[101],No,
PlusCharts,Free,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,
ReactiveChart,MIT[102],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,
RGraph,MIT[103],Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
rickshaw,MIT[104],Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,No,No,Yes[105],No,
Shield UI,Proprietary software,Non-commercial or commercial[106],No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes[107],,
Syncfusion,Proprietary software,Free[108] or commercial[109],Yes,Yes,Yes,Yes,Yes,Yes[110],Yes,Yes,Yes[111],No,Yes,Yes,Yes,Yes,Yes,[112],Yes,Yes,Yes,Yes,Yes,Yes,Yes,[113]
TeeChart JS,MIT[114],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Vaadin Charts,Proprietary software,No[115],Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,,
VanCharts,Proprietary software,cc-by-nc 4.0 [116] or commercial [116],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,,
VisJS,Apache 2.0 and MIT[117],Yes,Yes[118],Yes[119],Yes[120],Yes[121],No,No,No,No,No,Yes[122],Yes[123],Yes,Yes,Yes,No,No,Yes[124],Yes,Yes,Yes,Yes,No,No,
Webcharts,MIT[125],Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,,Yes,Yes,Yes,No,Yes,No,
Webix UI,GPL[126],Yes,Yes[127],No,Yes[128],Yes[129],Yes[130],Yes[130],No,Yes[131],No,No,No,Yes[132],Yes[133],Yes,No,Yes[133],,Yes [134],Yes [135],Yes [136],Yes,No,Yes,Yes
xcharts,MIT[137],Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,Yes,Yes,No,Yes[16],No,
YUI Charts,BSD LicensesBSD Licenses,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,Yes[139],
ZingChart,Proprietary software,Free with a link [140] or commercial[141],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes[142],Yes,
ZoomCharts,Proprietary software,Non-commercial or commercial[143],Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes[144],Yes,No,,
Library Name,Software license,Free,Line chart,Timeline,Scatter plot,Area chart,Pie chart,Donut chart,Bullet,Radar chart,Funnel chart,Gantt chart,Network,Grouped,Stacked,Negative,Discrete,Horizontal,3D,Legend (chart),Mouse Over,onClick,Canvas element,Scalable Vector Graphics,Vector Markup Language,Both AXIS x and y (page does not exist)
,,,Supported Chart Types,,,,,,,,,,,,Supported Bar chart Types,,,,,Other Features,Event (computing),,Rendering (computer graphics) Technologies,,,Databinding
