Audio compression format,Creator,First public release date,Latest stable version,Cost,,Proprietary software implementations (codecs),Open-source license implementations (codecs),Uses (other than consumer audio),Music reproduction (consumer audio),Telephony app,Audio compression (data),Patented,Digital rights management
Adaptive Transform Acoustic Coding,Sony Corp.,1991,ATRAC3plus,Non-free,Non-free," MiniDisc, MiniDisc, MiniDisc, MiniDisc, MiniDisc, MiniDisc, MiniDisc, SonicStage, MiniDisc, MiniDisc, ConnectPlayer "," FFmpeg (decoding only, ATRAC Advanced Lossless is only partially supported) "," Voice recording, theatrical movie presentation ",Yes,No,Yes,Yes,Yes
" Broadcom (BV16, BV32) ",Broadcom,2009-08-19,1.2,Free,Free,?,?," Speech, VoIP, Low latency, Voice recording ",No,Yes,No,Free,No
CELT," Xiph.Org Foundation, Jean-Marc Valin ",2007-12-08,0.11.1 (merged into Opus (audio format)),Free,Free,?," libcelt, FFmpeg with libcelt library (decoding only) "," Speech, VoIP, Low latency, Studio/transmitter link, wireless audio ",Yes,Yes,No,No,No
Codec2,David Rowe,2010,Developmental,Free,Free,?," c2enc, c2dec "," Low bandwidth HF/VHF digital radio, VoIP trunking ",No,Yes,No,No,No
Dolby Digital Plus,Dolby Laboratories,?,Advanced Television Systems Committee standards A52:2012,Non-free,Non-free,Digital television,FFmpeg," Theatrical movie presentation, digital TV service &amp; home-video (personal recorders, DVD, etc.) ",No,No,No,Yes,?
Enhanced Voice Services," Fraunhofer IIS, Fraunhofer IIS , Fraunhofer IIS, Fraunhofer IIS, Fraunhofer IIS, Fraunhofer IIS ",2014,?,Non-free,?,?,?,?,?,?,?,Yes,?
Free Lossless Audio Codec," Xiph.Org Foundation, Josh Coalson ",2001-07-20,1.3.3 (2019-08-04),Free,Free,," FLAC,FLAC FlakeFLAC (encoding only), FLAC, FLACCLFLAC (encoding only), AudiocogsFLAC (decoding only) ",Music archival[15],Yes,No,Yes,No,No
G.711,ITU-T,1972 (ITU-T standard from 1988),G.711 Appendix II (02/00),Free,Free,Various proprietary VoIP software," FFmpeg, FFmpeg, FFmpeg and almost any FFmpeg software ",Voice recording,No,Yes,No,No,No
G.722,ITU-T,1988-11,,Free,Free,Various proprietary VoIP software," Asterisk (PBX), Asterisk (PBX), FFmpeg ",Voice recording,No,Yes,No,No,No
G.722.1,ITU-T,1999-09,G.722.1 (05/05),Free[16][17],Free[16][17],Various proprietary VoIP software," FreeSWITCH,FreeSWITCH FreeSWITCH, etc ",Voice recording,No,Yes,No,Yes,No
G.722.2 (AMR-WB),ITU-T (adopted directly from 3GPP),2002-01,G.722.2 (07/03),Non-free,Non-free," QuickTime, QuickTime "," FFmpeg (decoding only),VisualOn FFmpeg with VisualOn libraries, VisualOn (decoding only)VisualOn "," Voice recording, audio ",No,No,No,Yes,No
G.723.1,ITU-T,1996-03,G.723.1 (05/06),Non-free,Non-free,Various proprietary VoIP software,FFmpeg,Voice recording,No,Yes,No,Yes,No
G.726,ITU-T,1990-12,,Free,Free,Various proprietary VoIP software," FFmpeg, FFmpeg and other FFmpeg software ",Voice recording,No,Yes,No,No,No
G.728,ITU-T,1992-09,,Non-free,Non-free,Various proprietary VoIP software,,Voice recording,No,Yes,No,Yes,No
G.729,ITU-T,1996-03,G.729 (06/12),Free[19],Free,Various proprietary VoIP software,FFmpeg (decoding only),Voice recording,No,Yes,No,Expired[19],No
G.729.1,ITU-T,2006-05,G.729.1 Am.8 (03/13),Free[19],Free,Various proprietary VoIP software,," Voice recording, Voice recording telephony ",No,Yes,No,No,No
GSM-FR,ETSI Special Mobile Group,1990-1994 (ETS 300 580-2),ETSI EN 300 961 V8.1.1 (2000–11),Free,Free,," FFmpeg (decoding only), FFmpeg with external library libgsm, Ekiga and other Ekiga software ",Voice recording,No,Yes,No,?,No
HE-AAC,International Organization for Standardization/International Organization for Standardization MPEG Audio Committee,2003,ISO/IEC 14496-3,?,?,?,?,?,Yes,No,No,?,?
ILBC,Global IP Solutions,2002,RFC 3951,Free,Free," Cisco IP Communicator,Cisco IP Communicator old versions of Cisco IP CommunicatorCisco IP Communicator "," Ekiga, Ekiga and other Ekiga software, FFmpeg with libilbc library ",Voice recording,No,Yes,No,Free[22],No
Internet Speech Audio Codec,Global IP Solutions,?,,Free,Free,Yahoo! Messenger,WebRTC,Voice recording,No,Yes,No,Yes[23],?
Monkey's Audio,Matthew T. Ashland,2000,5.47 (2020.06.30),Free,Free,Monkey's Audio,FFmpeg (decoding only),Music Archival,Yes,No,Yes,No,No
" MPEG-1 Audio Layer II (MPEG-1, 2 Audio Layer II) ",International Organization for Standardization/International Organization for Standardization MPEG Audio Committee,1993," ISO/IEC 11172-3, ISO/IEC 13818-3 ",Free[24],Free[24]," various DVD software, video software, audio software "," TooLAME (encoding only), TwoLAME (encoding only), TooLAME "," Digital Audio Broadcasting, Digital Audio Broadcasting, Digital Audio Broadcasting ",Yes,No,No,Free[25],?
MPEG-1 Audio Layer 3,International Organization for Standardization/International Organization for Standardization MPEG Audio Committee,1993," ISO/IEC 11172-3, ISO/IEC 13818-3 ",Free,Free," FhG, FhG, MP3enc, (old implementations: FhG TOMPG, SCMPX) "," LAME (encoding only), LAME (decoding only), LAME (decoding only), AudiocogsLAME (decoding only), (old implementations: BladeEnc) ",-,Yes,No,No,No[27]," Yes (optional, rarely used) "
Musepack,Frank Klemm/MDT,1997,1.30 (2009-04-02),Free,Free,," Musepack,Musepack Musepack (decoding only) ",-,Yes,No,No,No,No
Nellymoser Asao Codec,Nellymoser,2002,?,Non-free,Non-free," Adobe Flash, Adobe Flash ",FFmpeg,Voice recording,No,No,No,Yes,?
Opus (codec)," Xiph.Org Foundation, Xiph.Org Foundation ",2012-09-11,RFC 6716 (libopus 1.3),Free,Free,," libopus, FFmpeg "," Speech, VoIP, Low latency, VoIP, wireless audio, voice recording, WebRTC ",Yes,Yes,No,Free[29],No
SBC (codec),Bluetooth Special Interest Group,2003,List of Bluetooth profiles 1.3 (2012-07-24),Free for Bluetooth,Free for Bluetooth,List of Bluetooth profiles," BlueZ, FFmpeg ",Bluetooth audio,Yes,No,No,Yes,No
Shorten (file format),Tony Robinson,1993-03-30,3.6.1,Free,Free,Shorten,FFmpeg (decoding only),-,Yes,No,Yes,No (with commercial use restriction)[30][31],No
SILK,Skype Limited,2009-01-07,Merged into Opus (audio format),Free,Free,Skype,SILK Speech Codec,Voice recording,No,Yes,No,Yes,?
Siren Codec 7,PictureTel Corp. (now Polycom Inc.),1999,,?[16][17],?[16][17],Microsoft Office Communicator," FreeSWITCH (libg722_1,FreeSWITCH FreeSWITCH (libsiren - part of libmsn)FreeSWITCHFreeSWITCH ",Voice recording,No,Yes,No,Yes,?
Speex," Xiph.Org Foundation, Jean-Marc Valin ",2003-03-24,1.2.0 (obsoleted by Opus (audio format),Free,Free,Adobe Flash Player 10," Speex,Speex FFmpeg with libspeex library ",Voice recording,No,Yes,No,No,No
SVOPC,Skype Limited,2007,,?,?,Skype,,Voice recording,No,Yes,No,Yes,?
TTA (codec),TAU Software,1999,2.3 (2015-02-24),Free,Free,," TTA (codec),TTA (codec) TTA (codec) ",-,Yes,No,Yes,No,No
TwinVQ,Nippon Telegraph and Telephone,1996 (?),,Non-free,Non-free," Winamp with VQF plugin, NTT TwinVQ player/encoder, Yamaha SoundVQ player, Nero Media Player ",FFmpeg (decoding only)FFmpeg,speech,Yes,No,No,Yes,?
Vorbis (Vorbis),Xiph.Org Foundation,2000-05-11,1.3.6,Free,Free,," Libvorbis,Libvorbis Libvorbis,Libvorbis Libvorbis ",-,Yes,No,No,No,No
WavPack,Conifer Software,1998,5.3.0 (2020-04-14),Free,Free,," WavPack,WavPack WavPack ",Music archival,Yes,No,Yes,No,No
Windows Media Audio,Microsoft,1999,11.0,Free for  consumer licensees of the Windows operating system [ Wikipedia:Citation needed ],Free for licensees of the Windows operating system[41]," Windows Media Player, Windows Media Player "," FFmpeg (decoding only for  Pro ,  Lossless  and  Voice ) ",internet streaming,Yes,No,Yes,Yes,Optional[42]
Audio compression format,Creator,First public release date,Latest stable version,Data compression,Player,Proprietary software implementations (codecs),Open-source license implementations (codecs),Uses (other than consumer audio),Music reproduction (consumer audio),Telephony app,Audio compression (data),Patented,Digital rights management
cost,,,,,,,,,,,,
