Launch system,,Country of origin,Class and type,Payload capacity,,,Maiden flight,Manufacturer,Status,Ref
,Kaituozhe-2,,Small-lift launch vehicle Small-lift launch vehicle," 800 kg (1,800 lb) ",,,2017,,In service,[114]
,Kaituozhe-2A,,Medium-lift launch vehicle Medium-lift launch vehicle," 2,000 km (1,200 mi) ",,,Unconfirmed,,Unknown,
Kuaizhou,Kuaizhou 1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Small-lift launch vehicle Small-lift launch vehicle,,N/A,430 kg (950 lb) to 500 km (310 mi) (Sun-synchronous orbit),2013,China Aerospace Science and Technology Corporation,In service,[115][116]
,Kuaizhou-1A,,Small-lift launch vehicle Small-lift launch vehicle,300 kg (660 lb),N/A,250 kg (550 lb) to 500 km (310 mi) (Sun-synchronous orbit) 200 kg (440 lb) to 700 km (430 mi) (Sun-synchronous orbit),2017,,In service,
,Kuaizhou-11,,Small-lift launch vehicle Small-lift launch vehicle," 1,500 kg (3,300 lb) ",," 1,000 kg (2,200 lb) to 700 km (430 mi) (Sun-synchronous orbit) ",2019-20 (Planned),,Under development,[117]
,Kuaizhou-21,,Heavy-lift launch vehicle Heavy-lift launch vehicle," 20,000 kg (44,000 lb) ",,,2025 (Projected),,Under development,[115][118]
,Kuaizhou-31,,Super heavy-lift launch vehicle Super heavy-lift launch vehicle," 70,000 kg (150,000 lb) ",,,TBD,,Under development,
Lambda (rocket family),,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Small-lift launch vehicle Small-lift launch vehicle,26 kg (57 lb),,,1970,Institute of Space and Astronautical Science/Institute of Space and Astronautical Science,Retired,[119]
Long 1 March rocket family,Long March 1,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Small-lift launch vehicle Small-lift launch vehicle,300 kg (660 lb),N/A,,1970,Moscow Aviation Institute/Moscow Aviation Institute/Moscow Aviation Institute,Retired,[120]
,Long March 1D,,Small-lift launch vehicle Small-lift launch vehicle," 930 kg (2,050 lb) ",N/A,,1995,China Academy of Launch Vehicle Technology,Retired,[121]
Long March 2,Long March 2A,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Medium-lift launch vehicle Medium-lift launch vehicle," 2,000 kg (4,400 lb) ",,,1974,China Academy of Launch Vehicle Technology,Retired,[122]
,Long March 2C,,Medium-lift launch vehicle Medium-lift launch vehicle," 3,850 kg (8,490 lb) "," 1,250 kg (2,760 lb) "," 1,900 kg (4,200 lb) to Sun-synchronous orbit ",1982,,In service,
,Long March 2D,,Medium-lift launch vehicle Medium-lift launch vehicle," 3,500 kg (7,700 lb) ",," 1,300 kg (2,900 lb) to Sun-synchronous orbit ",1992,,In service,
,Long March 2E,,Medium-lift launch vehicle Medium-lift launch vehicle," 9,500 kg (20,900 lb) "," 3,500 kg (7,700 lb) ",,1990,,In service,
,Long March 2F,,Medium-lift launch vehicle Medium-lift launch vehicle," 8,400 kg (18,500 lb) ",,,1990,,In service,
Long March 3,Long 3 March,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Medium-lift launch vehicle Medium-lift launch vehicle," 5,000 kg (11,000 lb) "," 1,500 kg (3,300 lb) ",,1984,China Academy of Launch Vehicle Technology,Retired,[123]
,Long March 3A,,Medium-lift launch vehicle Medium-lift launch vehicle," 8,500 kg (18,700 lb) "," 2,600 kg (5,700 lb) "," 1,600 kg (3,500 lb) to Heliocentric orbit ",1993,,In service,
," Long March 3B, 3B/E ",,Medium-lift launch vehicle Medium-lift launch vehicle," 11,500 kg (25,400 lb) "," 5,100 kg (11,200 lb) "," 3,300 kg (7,300 lb) to Heliocentric orbit 2,000 kg (4,400 lb) to Heliocentric orbit ",1996,,In service,
," Long March 3C, 3C/E ",,Medium-lift launch vehicle Medium-lift launch vehicle,," 3,900 kg (8,600 lb) "," 2,400 kg (5,300 lb) to Heliocentric orbit ",2008,,In service,
Long March 4,Long March 4A,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Medium-lift launch vehicle Medium-lift launch vehicle," 4,000 kg (8,800 lb) ",," 1,500 kg (3,300 lb) to Sun-synchronous orbit ",1988,China Academy of Launch Vehicle Technology,Retired,[124]
,Long March 4B,,Medium-lift launch vehicle Medium-lift launch vehicle," 4,200 kg (9,300 lb) "," 1,500 kg (3,300 lb) "," 2,800 kg (6,200 lb) to Sun-synchronous orbit ",1999,,In service,
,Long March 4C,,Medium-lift launch vehicle Medium-lift launch vehicle," 4,200 kg (9,300 lb) "," 1,500 kg (3,300 lb) "," 2,800 kg (6,200 lb) to Sun-synchronous orbit ",2006,,In service,
Long March 5,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Heavy-lift launch vehicle Heavy-lift launch vehicle," 25,000 kg (55,000 lb) (200 km (120 mi) x 400 km (250 mi)) "," 14,000 kg (31,000 lb) "," 8,200 kg (18,100 lb) to Trans-lunar injection ",2016,China Academy of Launch Vehicle Technology,In service,[125]
Long March 6,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Small-lift launch vehicle Small-lift launch vehicle,,N/A," 1,080 kg (2,380 lb) to 700 km (430 mi) (Sun-synchronous orbit) ",2015,China Academy of Launch Vehicle Technology,In service,[126]
Long March 7,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Medium-lift launch vehicle Medium-lift launch vehicle," 13,500 kg (29,800 lb) (200 km (120 mi) x 400 km (250 mi)) "," 5,500 kg (12,100 lb) ",,2016,China Academy of Launch Vehicle Technology,In service,[127]
Long March 9Long March 9,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Super heavy-lift launch vehicle," 140,000[129] "," 66,000[130] "," 50,000 to TLI[129]   44,000 to TMI[131] ",2028[132]–2030[131],China Academy of Launch Vehicle Technology,In development
Long March 11,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Small-lift launch vehicle Small-lift launch vehicle," 700 kg (1,500 lb) ",,350 kg (770 lb) to 700 km (430 mi) (Sun-synchronous orbit),2015,China Academy of Launch Vehicle Technology,In service,[133]
Mu (rocket family),Mu-3C,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Small-lift launch vehicle Small-lift launch vehicle,195 kg (430 lb),,,1974,Institute of Space and Astronautical Science/Institute of Space and Astronautical Science/Institute of Space and Astronautical Science,Retired,[134]
,Mu-3H,,Small-lift launch vehicle Small-lift launch vehicle,300 kg (660 lb),,,1977,,Retired,
,Mu-3S,,Small-lift launch vehicle Small-lift launch vehicle,300 kg (660 lb),,,1980,,Retired,
,Mu-3SII,,Small-lift launch vehicle Small-lift launch vehicle," 770 kg (1,700 lb) ",,,1985,,Retired,
,Mu-4S,,Small-lift launch vehicle Small-lift launch vehicle,180 kg (400 lb),,,1971,,Retired,
,M-V,,Small-lift launch vehicle Small-lift launch vehicle," 1,850 kg (4,080 lb) ",," 1,300 kg (2,900 lb) to Polar orbit Polar orbit ",1997,,Retired,
N (rocket family) (page does not exist),N-I (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Small-lift launch vehicle Small-lift launch vehicle," 1,200 kg (2,600 lb) ",360 kg (790 lb),,1975,Mitsubishi Heavy Industries/Mitsubishi Heavy Industries,Retired,[135]
,N-II (rocket),,Medium-lift launch vehicle Medium-lift launch vehicle," 2,000 kg (4,400 lb) "," 730 kg (1,610 lb) ",,1981,,Retired,[136]
Paektusan-1,,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/23px-Flag_of_North_Korea.svg.png North Korea,Small-lift launch vehicle Small-lift launch vehicle," 700 kg (1,500 lb) ",,,1998,Korean Committee of Space Technology,Retired,[137]
Polar Satellite Launch Vehicle,PSLV-G,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Medium-lift launch vehicle Medium-lift launch vehicle," 3,200 kg (7,100 lb) "," 1,050 kg (2,310 lb) "," 1,600 kg (3,500 lb) to Sun-synchronous orbit ",1993,ISRO,Retired,[138]
,PSLV-CA,,Medium-lift launch vehicle Medium-lift launch vehicle," 2,100 kg (4,600 lb) ",," 1,100 kg (2,400 lb) to Sun-synchronous orbit ",2007,,In service,
,PSLV-XL,,Medium-lift launch vehicle Medium-lift launch vehicle," 3,800 kg (8,400 lb) "," 1,300 kg (2,900 lb) "," 1,750 kg (3,860 lb) to Sun-synchronous orbit 1,350 kg (2,980 lb) to Sun-synchronous orbit ",2008,,In service,
,PSLV-DL,,Medium-lift launch vehicle Medium-lift launch vehicle," 2,100 kg (4,600 lb) ",," 1,100 kg (2,400 lb) to Sun-synchronous orbit ",2019,,In service,
,PSLV-QL,,Medium-lift launch vehicle Medium-lift launch vehicle," 3,800 kg (8,400 lb) "," 1,300 kg (2,900 lb) "," 1,750 kg (3,860 lb) to Sun-synchronous orbit 1,350 kg (2,980 lb) to Sun-synchronous orbit ",2019,,In service,
,PSLV-3S,,Small-lift launch vehicle Small-lift launch vehicle," 500 kg (1,100 lb) (550 km (340 mi) ",,,N/A,,Concept only,
Iranian Space Agency,,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran,Medium-lift launch vehicle Medium-lift launch vehicle," 3,500 kg (7,700 lb) "," 1,500 kg (3,300 lb) ",,2025 (Projected),Iranian Space Agency,Under development,[ Wikipedia:Citation needed ]
RLV Technology Demonstration Programme,,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Two-stage-to-orbit Two-stage-to-orbit,,,,2016 (Flight experiment),ISRO,Under development,[139]
RPS-420,Pengorbitan-1,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/23px-Flag_of_Indonesia.svg.png Indonesia,Small-lift launch vehicle Small-lift launch vehicle,25 kg (55 lb),N/A,,TBD,LAPAN,Proposed,[140]
,Pengorbitan-2,,Small-lift launch vehicle Small-lift launch vehicle,50 kg (110 lb),N/A,,TBD,,Proposed,
S-Series (rocket family),SS-520,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Small-lift launch vehicle Small-lift launch vehicle,100 kg (220 lb) (>300 km (190 mi),N/A,,1980,IHI Corporation,In service,[141]
Safir (rocket),,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran,Small-lift launch vehicle Small-lift launch vehicle,65 kg (143 lb),N/A,,2008,Iranian Space Agency,In service,[142]
Satellite Launch Vehicle,,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Small-lift launch vehicle Small-lift launch vehicle,40 kg (88 lb) (400 km (250 mi),N/A,,1979,ISRO,Retired,[143]
Shavit,,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png Israel,Small-lift launch vehicle Small-lift launch vehicle," 800 kg (1,800 lb) ",N/A,,1988,Israel Aerospace Industries,In service,[144]
Simorgh (rocket),,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png Iran,Small-lift launch vehicle Small-lift launch vehicle,350 kg (770 lb),N/A,,2016 (Sub-orbital),Iranian Space Agency,Under development,[145]
Small Satellite Launch Vehicle,,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Small-lift launch vehicle Small-lift launch vehicle," 500 kg (1,100 lb) (500 km (310 mi)) ",N/A,300 kg (660 lb),2020 (Planned),ISRO,Under development,[146]
TSLV (page does not exist),,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/23px-Flag_of_the_Republic_of_China.svg.png Taiwan,Small-lift launch vehicle Small-lift launch vehicle,50 kg (110 lb) (700 km (430 mi)),N/A,,TBD,National Space Organization,Under development,[147][148]
Unha,,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/23px-Flag_of_North_Korea.svg.png North Korea,Small-lift launch vehicle Small-lift launch vehicle,200 kg (440 lb) (465 km (289 mi) x 502 km (312 mi)),N/A,,2009,Korean Committee of Space Technology,In service,[149]
Unified Modular Launch Vehicle,ULV with 6 x S-13 boosters,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Medium-lift launch vehicle Medium-lift launch vehicle," 4,500 kg (9,900 lb) "," 1,500 kg (3,300 lb) ",,No earlier than 2022,ISRO,Under development,[91][150][151]
,ULV with 2 x S-60 boosters,,Medium-lift launch vehicle Medium-lift launch vehicle," 10,000 kg (22,000 lb) "," 3,000 kg (6,600 lb) ",,No earlier than 2022,,Under development,
,ULV with 2 x S-139 boosters,,Medium-lift launch vehicle Medium-lift launch vehicle," 12,000 kg (26,000 lb) "," 4,500 kg (9,900 lb) ",,No earlier than 2022,,Under development,
,ULV with 2 x S-200 boosters,,Medium-lift launch vehicle Medium-lift launch vehicle," 15,000 kg (33,000 lb) "," 6,000 kg (13,000 lb) ",,No earlier than 2022,,Under development,
,HLV variant,,Heavy-lift launch vehicle Heavy-lift launch vehicle," 20,000 kg (44,000 lb) "," 10,000 kg (22,000 lb) ",,2020s,,Under development,
,SHLV variant,,Super heavy-lift launch vehicle Super heavy-lift launch vehicle," 41,300 kg (91,100 lb)-60,000 kg (130,000 lb) "," 16,300 kg (35,900 lb) ",,2020s,,Under development,
Space Launch System (Turkey),,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png Turkey,Small-lift launch vehicle Small-lift launch vehicle,Microsatellites (700 km (430 mi)),N/A,,TBD,ROKETSAN,Under development,[152]
Yun Feng SLV,,//upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/23px-Flag_of_the_Republic_of_China.svg.png Taiwan,Small-lift launch vehicle Small-lift launch vehicle,200 kg (440 lb) (500 km (310 mi),N/A,,TBD,National Chung-Shan Institute of Science and Technology,Under development,[148]
