,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
,readOnly,4.0,,,?,?,
,rows,,,,?,?,
,type,4.0,Yes,,?,?,
,value,3.0,,,?,?,
Interface HTMLButtonElement,,,,,,,
DOM1,form,3.0,Yes,1.0,?,?,1.0
,disabled,5.0,Yes,,?,?,
,type,3.0,Yes,,?,?,
Interface HTMLLabelElement,,,,,,,
DOM1,form,6.0,Yes,1.0,?,?,1.0
,accesskey,5.0,,,?,?,
,htmlFor,4.0,,,?,?,
Interface HTMLFieldSetElement,,,,,,,
DOM1,form,5.0,Yes,1.0,?,?,1.0
Interface HTMLLegendElement,,,,,,,
DOM1,form,5.0,Yes,1.0,?,?,1.0
,align,5.0,Yes,,?,?,
Interface HTMLUListElement,,,,,,,
DOM1,compact,4.0,Yes,1.0,?,?,1.0
Interface HTMLOListElement,,,,,,,
DOM1,compact,4.0,Yes,1.0,?,?,1.0
,start,,,,?,?,
Interface HTMLDListElement,,,,,,,
DOM1,compact,4.0,Yes,1.0,?,?,1.0
Interface HTMLLIElement,,,,,,,
DOM1,type,4.0,Yes,1.0,?,?,1.0
Interface HTMLDivElement,,,,,,,
DOM1,align,?,?,1.0,?,?,1.0
Interface HTMLParagraphElement,,,,,,,
Interface HTMLHeadingElement,,,,,,,
DOM1,align,4.0,Yes,1.0,?,?,1.0
Interface HTMLQuoteElement,,,,,,,
DOM1,cite,8.0,Yes,1.0,?,?,1.0
Interface HTMLPreElement,,,,,,,
DOM1,width,?,?,1.0,?,?,1.0
Interface HTMLBRElement,,,,,,,
DOM1,clear,4.0,Yes,1.0,?,?,1.0
Interface HTMLHRElement,,,,,,,
DOM1,align,4.0,Yes,1.0,?,?,1.0
,noShade,,,,?,?,
,width,,,,?,?,
Interface HTMLModElement,,,,,,,
DOM1,cite,8.0,?,1.9,?,?,1.0
,dateTime,?,?,1.0,?,?,
Interface HTMLAnchorElement,,,,,,,
DOM1,accesskey,?,?,1.0,?,?,1.0
,charset,6.0,Yes,,?,?,
,coords,,,,?,?,
,href,3.0,,,?,?,
,hreflang,6.0,,,?,?,
,name,4.0,,,?,?,
,shape,6.0,,,?,?,
,target,3.0,Yes,,?,?,
,type,6.0,,,?,?,
,blur(),?,?,,?,?,
,focus(),?,?,,?,?,
Interface HTMLImageElement,,,,,,,
DOM1,name,4.0,Yes,1.0,?,?,1.0
,align,,,,?,?,
,alt,,,,?,?,
,border,,,,?,?,
,height,,,,?,?,
,hspace,,,,?,?,
,isMap,,,,?,?,
,longDesc,8.0,?,,?,?,2.0
,src,4.0,Yes,,?,?,1.0
,useMap,,,,?,?,
,vspace,,,,?,?,
Interface HTMLObjectElement,,,,,,,
DOM1,form,?,?,1.0,?,?,1.0
,code,4.0,Yes,,?,?,
,archive,?,?,,?,?,
,border,?,?,,?,?,
,codeBase,8.0,Yes,,?,?,
,codeType,4.0,,,?,?,
,data,8.0,,,?,?,
,declare,?,?,,?,?,2.0
,height,4.0,Yes,,?,?,1.0
,standby,?,?,,?,?,
,vspace,4.0,Yes,,?,?,
DOM2,contentDocument,No,,,?,?,2.0
Interface HTMLParamElement,,,,,,,
DOM1,name,?,?,1.0,?,?,1.0
,type,?,?,,?,?,
,value,?,?,,?,?,
,valueType,No,?,,?,?,
Interface HTMLMapElement,,,,,,,
DOM1,areas,4.0,Yes,1.0,?,?,1.0
Interface HTMLAreaElement,,,,,,,
DOM1,accesskey,?,?,1.0,?,?,1.0
,alt,4.0,Yes,,?,?,
,hrefs,?,?,,?,?,
,noHrefs,?,?,,?,?,
,shape,4.0,Yes,,?,?,
,target,4.0,Yes,,?,?,
Interface HTMLScriptElement,,,,,,,
DOM1,text,4.0,0,1.0,?,?,1.0
,htmlFor (reserved for future use),,Yes,,?,?,No
,event (reserved for future use),,,,?,?,2.0
,charset,?,?,,?,?,1.0
,defer,4.0,Yes,,?,?,
,src,8.0,,,?,?,
,type,4.0,,,?,?,
,target,?,?,,?,?,
Interface HTMLTableElement,,,,,,,
DOM1,caption,4.0,Yes,1.0,?,?,1.0
,tHead,,,,?,?,
,tFoot,,,,?,?,
,tBodies,,,,?,?,
,bgColor,,,,?,?,
,cellPadding,,,,No,?,
,cellSpacing,,,,?,?,
,frame,,,,?,?,
,rules,,No,,?,?,
,summary,,,,6.0,?,,?
,width,4.0,Yes,,?,?,
,createTHead(),,,,?,?,
,deleteTHead(),,,,?,?,
,createTFoot(),,,,?,?,
,deleteTFoot(),,,,?,?,
,createCaption(),,,,?,?,
,deleteCaption(),,,,?,?,
,insertRow(),,,,?,?,
,deleteRow(),,,,?,?,
Interface HTMLTableCaptionElement,,,,,,,
DOM1,align,5.0,Yes,1.0,?,?,1.0
Interface HTMLTableColElement,,,,,,,
DOM1,align,4.0,Yes,1.0,?,?,1.0
,ch,6.0,No,,?,?,2.0
,chOff,,,,?,?,
,span,5.0,Yes,,?,?,1.0
,vAlign,4.0,,,?,?,
,width,5.0,0,,?,?,
Interface HTMLTableSectionElement,,,,,,,
DOM1,align,4.0,Yes,1.0,?,?,1.0
,vAlign,4.0,Yes,,?,?,1.0
Interface HTMLTableRowElement,,,,,,,
DOM1,rowIndex,4.0,Yes,1.0,?,?,1.0
,sectionRowIndex,,,,?,?,
,cells,,,,?,?,
,vAlign,4.0,Yes,,?,?,1.0
,insertCell(),,,,?,?,
,deleteCell(),,,,?,?,
Interface HTMLTableCellElement,,,,,,,
DOM1,cellIndex,4.0,Yes,1.0,Incorrect,?,1.0
,abbr,6.0,,,?,?,2.0
,align,4.0,,,?,?,1.0
,axis,6.0,,,?,?,
,bgColor,4.0,,,?,?,
,colSpan,4.0,Yes,,?,?,1.0
,headers,6.0,,,?,?,
,height,4.0,,,?,?,
,noWrap,,,,?,?,
,rowSpan,,,,?,?,
,scope,?,?,,?,?,
,vAlign,4.0,Yes,,?,?,
Interface HTMLFrameSetElement,,,,,,,
DOM1,cols,4.0,Yes,1.0,?,?,1.0
Interface HTMLFrameElement,,,,,,,
DOM1,frameBorder,4.0,Yes,1.0,?,?,1.0
,longDesc,8.0,,,?,?,
,marginHeight,6.0,,,?,?,
,marginWidth,,,,?,?,
,noResize,,,,?,?,
,scrolling,,,,?,?,
DOM2,contentDocument,No,Yes,1.0,?,?,1.0
Interface HTMLIFrameSetElement,,,,,,,
DOM1,align,4.0,Yes,1.0,?,?,1.0
,frameBorder,?,?,,?,?,
,height,4.0,Yes,,?,?,
,marginHeight,4.0,,,?,?,
,width,4.0,,,?,?,
DOM2,contentDocument,No,,,?,?,
