Software,Web-based,On-premises software,Software as a service,Software license,Programming language
Pivotal Tracker,Yes,No,Yes,Unknown,Ruby (programming language)
Plandora,Yes,Yes,Unknown,LGPL,Java (programming language)
Planisware,Yes,Yes,Yes,Proprietary software,
PLANTA Project,Yes,Yes,No,Proprietary software,
Project Builder,Yes,Yes,Yes,Proprietary software,
Project KickStart,No,Yes,Unknown,Proprietary software,
Project Team Builder,Yes,Yes,Yes,Proprietary software,
Projector PSA,Yes,Yes,Yes,Proprietary software,
ProjectLibre,No (Cloud based version under development)[10],Yes,No (Included in future plans)[11],CPAL,Java (programming language)
ProjectManager.com,Yes[12],No,Yes,Proprietary software,
Project.net,Yes,Yes,Yes,GPL,Java (programming language)
Projectplace (software),Yes,No,Yes,Proprietary software,
Projektron BCS,Yes,Yes,Yes,Proprietary software,Java (programming language)
ProjeQtOr,Yes,Yes,Yes,Affero General Public License,PHP
Meridian Systems,Yes,Yes,Yes,Proprietary software,
Windchill (software),Yes,Yes,Yes,Proprietary software,
Meridian Systems,Yes,Yes,Yes,Proprietary software,
Priority Matrix,Yes,No,Yes,Proprietary software,
Pyrus (software),Yes,Yes,Yes,Proprietary software,
RationalPlan,Yes,Yes,Yes,Proprietary software,
Realisor,No,Yes,No,Proprietary software,
Redbooth,Yes[13],Yes,Yes[13],Affero General Public License;Affero General Public License Affero General Public License (version 4),Ruby on Rails
Redmine,Yes,Yes,Yes [15][16][17],GPL,Ruby (programming language)
Rillsoft Project &amp; Integration Server,Yes,Yes,Yes,Proprietary software,C++ and C++
Intaver Institute,Yes,Yes,Yes,Proprietary software,
SAP Business ByDesign,Yes,Unknown,Yes,Proprietary software,
Sciforma,Yes,Yes,Yes,Proprietary software,
Scoro,Yes,No,Yes,Proprietary software,PHPPHP
Seavus Project Viewer (software),Yes,Yes,Yes,Proprietary software,C++
Severa,Yes,Unknown,Yes,Unknown,
Smartsheet,Yes,Unknown,Yes,Proprietary software,PHP
Spider Project,No,No,No,Proprietary software,
Streamtime Software,Yes,No,Yes,Proprietary software,PHP
TACTIC (web framework),Yes,Yes,Yes,Eclipse Public License,Python (programming language)
Taiga (project management),Yes,Yes,Yes,GNU Affero General Public License,Python (programming language)
Talygen Business Intelligence,Yes,No,Yes,Proprietary software,ASP.NET
TaskJuggler,No,Yes,No,GPL,Ruby (programming language)
Teamcenter,Yes,Yes,Yes,Proprietary software,
TeamDynamixHE,Yes,Yes,Yes,Proprietary software,
Teamwork.com,Yes,No,Yes,Proprietary software,
Tom's Planner,Yes,Unknown,Unknown,Proprietary software,
Trac,Yes,Yes,Yes,(modified) BSD license,Python (programming language)
Tracker (Business Software),Yes,Yes,Yes,Proprietary software,
Traction TeamPage,Yes,Yes,Yes,Proprietary software,Java (programming language)
Trello,Yes,No,Yes,Proprietary software," CoffeeScript, CoffeeScript, CoffeeScript, CoffeeScript CoffeeScript, CoffeeScript, CoffeeScript, CoffeeScript "
Triskell,Yes,No,Yes,Proprietary software,Java (programming language)
Tuleap,Yes,Yes,Yes,GPL,
Twproject,Yes,Yes,Yes,Proprietary software,
UniPhi,Yes,Yes,Yes,Proprietary software,ASP.NET
Vpmi,Yes,Unknown,Unknown,Proprietary software,
Web2project,Yes,Unknown,Unknown,GPL,PHP
Workamajig,Yes,Yes,Yes,Proprietary software,
Workfront,Yes[19],No,Yes,Proprietary software,
WorkPLAN Enterprise,No,Unknown,Unknown,Proprietary software,
Workspace.com,Yes,Unknown,Yes,Proprietary software,
Wrike (software),Yes,Unknown,Yes,Proprietary software,
Zoho Office Suite,Yes,No,Yes,Proprietary software,PHP
