Package,License,Microsoft Windows,OS X,Linux,Market focus,Type,Structure
Gem Accounts,Software as a Service,Yes,Yes,Yes,Low to mid-market," General ledger, General ledger, General ledger, General ledger, General ledger, small business accounting, mid-market enterprise accounting, multi-currency, multi-language, multi-user, business reporting, management reporting, inventory control, service/project tracking &amp; billing, payroll, open data and backup exports. ",Web-based
InDinero,Software as a Service,Yes,Yes,Yes," Small businesses, Small businesses "," Accounting software, Accounting software, Accounting software, Accounting software preparation, Accounting software, bank integration, Accounting software ",Web-based
Invoiceit,Proprietary software,Yes,No,No,Low to mid-market," Accounting software, single entry, Accounting software, Accounting software, Accounting software, Accounting software, Accounting software, Accounting software, Accounting software, Accounting software, Accounting software ",Stand-alone
Microsoft Dynamics AX,Proprietary software,Yes,No,No,Midsize to high-end enterprises," Enterprise resource planning, Enterprise resource planning, intercompany, multicurrency, manufacturing, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning "," Multi-User/Location, Terminal Server "
Microsoft Dynamics C5,Proprietary software,Yes,No,No,Small Business," Multicurrency, Fixed Assets, Double-entry bookkeeping system, Double-entry bookkeeping system, Double-entry bookkeeping system, Double-entry bookkeeping system, Reporting &amp; Analysis Services "," Multi-User, Remote Access, Web Access, Mobile Access, Cloud Hostable "
Microsoft Dynamics GP,Proprietary software,Yes,No,No,Small &amp; mid-size enterprises (Small and medium enterprises)," Enterprise resource planning, SCM, manufacturing, Cost Accounting, Enterprise resource planning, project accounting, Enterprise resource planning, Enterprise resource planning, Analytic, Enterprise resource planning, Enterprise resource planning "," Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable "
Microsoft Dynamics NAV,Proprietary software,Yes,No,No,Small &amp; Midsize Enterprises (Small and medium enterprises)," Enterprise resource planning, Enterprise resource planning, Intercompany, Multicurrency, SCM, Manufacturing, Cost Accounting, Enterprise resource planning, Project Accounting, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Reporting &amp; Analysis Services "," Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable "
Microsoft Dynamics SL,Proprietary software,Yes,No,No,Small &amp; midsize enterprises (Small and medium enterprises)," Project Management, Project Accounting, Reporting &amp; Analysis Services "," Multi-User/Location, Terminal Server, Web Access "
Microsoft Office Accounting,Proprietary software and freeware,Yes,No,No,Low-end market,Product is Discontinued,Stand-alone
MYOB (company),Proprietary software,Yes,Yes,No,Low- to high-end market,Small business and commercial accounting. Payroll and POS,Stand-alone
MYOB (company),Proprietary software,Yes,No,No,Mid- to high-end market," Larger, more complex businesses. Fully customised ERP with Accounting/General ledger, CRM, Job &amp; Project Costing, POS, Asset Management and Intercompany Reporting. Integrated Payroll &amp; HR available through MYOB EXO Employer Services "," Stand-alone, multi-user/location, terminal server, remote access "
NetSuite,Software as a Service,Yes,Yes,Yes,Mid-market," Customer relationship management, Customer relationship management, Customer relationship management ",Web-based
NewViews,Proprietary software,Yes,No,No,Low to mid-market," Real-time operating system, Real-time operating system, Integrated, Multi-user, Real-time operating system (Canada, USA), Real-time operating system, Real-time operating system, Real-time operating system, Multi-Currency, Small Business Accounting, Inventory Control, Order Entry, Job Costing, Non-profit Housing Edition, Work Orders, Attachments (Scans) "," Stand-alone and/or Web Access, Cloud Hostable "
NolaPro,Software as a Service and freeware,Yes,Yes,Yes,Low- to high-end market,
Open Systems Accounting Software,Proprietary software,Yes,Yes,Yes,Low to mid-market," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Reporting &amp; Enterprise resource planning ",Stand-alone
Oracle E-Business Suite,Proprietary software,Yes,Yes,Yes,High-end market,Enterprise resource planning,Web-based
Oracle Fusion Applications,Proprietary software,Yes,Yes,Yes,High-end market," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning ",Web-based
PeopleSoft,Proprietary software,Yes,Yes,Yes,High-end market," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning ",Web-based
Postbooks,Proprietary software,Yes,Yes,Yes,Low to mid-market,Professional Services,Client-server
Outright,Software as a service and freeware,Yes,Yes,Yes," Entrepreneurs, freelancers, Contractors, Consultants, Small businesses - Low-end market "," Bookkeeping, Bookkeeping, Bookkeeping, Reporting &amp; Bookkeeping ",Web-based
Passport Software,Proprietary software,Yes,No,Yes,Mid- to low-end market," General ledger, General ledger, General ledger, General ledger ",Stand-alone
POS solutions,Proprietary software,Yes,No,No,Newsagency pharmacy,Point of sale,Stand-alone
QuickBooks,Proprietary software,Yes,Yes,No,Mid-market," Business management, Payroll ",Stand-alone
QuickBooks Online Edition,Proprietary software,Yes,Yes,Yes,Low-end market," Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management ",Web-based
QuickBooks,Proprietary software,Yes,Yes,No,Low to mid-market," Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management, fixed asset depreciation ",Stand-alone
Red Wing Software,Proprietary software,Yes,No,No,Low to mid-market," Payroll, Payroll, Payroll, Payroll, Payroll, Payroll, Payroll, Payroll, order entry/tracking, small business accounting ",Stand-alone
Sage Group,Proprietary software,Yes,No,No,Accounting Firms," Customer relationship management, Customer relationship management ",Stand-alone
Sage Accounting,Proprietary software,Yes,Yes,Yes,Low-end market (for Small and medium enterprises)," Accounts receivable, accounts payable, Double-entry accounting, Small Business Accounting, Multi-currency in Global versions, automatic bank feeds and downloads, standard business reporting, management reporting, Payroll, incorporated credit card and bank-to-bank Payments, inventory items, expense management ",Web-based
Sage 50cloud,Proprietary software,Yes,No,No,Low-end to High end," Business management. Financials, Financials, Financials, Financials, Financials, Financials, Financials, Financials, Financials, Financials; features and OS support dependent on country. ",Stand-alone
Sage Intacct,Proprietary software,Yes,Yes,Yes,Small &amp; Midsize Enterprises (Small and medium enterprises)," Accounts Payable, Accounts Receivable, Cash Management, Collaborate, Contract and Subscription Billing, Contract Revenue Management, Fixed Assets, General Ledger, Inventory Management, Multi-Entity and Global Consolidations, Order Management, Project Accounting, Purchasing, Reporting and Dashboards, Sales and Use Tax, Spend Management, Time and Expense Management, Vendor Payment Services ",Web-based
Sage 300 ERP,Proprietary software,Yes,Yes,Yes,Mid-market," Enterprise resource planning, Multicurrency, Intercompany, Reporting &amp; Analysis services, Enterprise resource planning &amp; Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning ",Stand-alone and Web-based
Sage Enterprise Management,Proprietary software,Yes,Yes,Yes,Mid-market," Enterprise resource planning, Multicurrency, Intercompany, Reporting &amp; Analysis services, Enterprise resource planning &amp; Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning ",Stand-alone and Web-based
SAP Business ByDesign,Proprietary software,Yes,Yes,Yes,Small &amp; midsize enterprises (Small and medium enterprises)," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning ",Web-based
SAP Business One,Proprietary software,Yes,No,Yes (Server only)[7],Small &amp; midsize enterprises (Small and medium enterprises)," Enterprise resource planning, Enterprise resource planning ",Stand-alone
SAP ERP,Proprietary software,Yes,Yes,Yes,Midsize to High-end," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Global Trade Services (GTS), Enterprise resource planning, Enterprise resource planning, Mobile Business ",Stand-alone and Web-based
Sybiz Software Pty Ltd,Proprietary software and Proprietary software,Yes,Yes,Yes,Low- to high-end market," Accounting software, Accounting software, manufacturing, Accounting software, Accounting software, multi-currency, Accounting software, traceability and auditing, Accounting software, budgeting, reporting and analytics "," Stand-alone, Multi-User/Location, Terminal Server, Remote Access, Web Access, Mobile Access, Cloud Hostable "
Tally.ERP 9,Proprietary software and Proprietary software,Yes,Yes,Yes,Low to high-end market," Accounting, Accounting, Accounting, Accounting, Accounts receivable, Accounts payable, General ledger, Billing, Stock/inventory, Purchase order, sales order, Bookkeeping, Financial Close Management, Balance Sheets, Point of Sale, Business Reporting and analytics "," Stand-alone, Multi-User/Location, Web Access, Mobile Access "
TRAVERSE (software),Proprietary software,Yes,No,No,Low to mid-market," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Intercompany, Multicurrency, Enterprise resource planning, Distribution, Enterprise resource planning, Mobile Business Solutions, Reporting &amp; Enterprise resource planning ",Stand-alone
Wave Accounting,Proprietary software,Yes,Yes,Yes," Entrepreneurs, freelancers, contractors, consultants, small businesses – Low-end market) "," Accounts receivable, Accounts receivable, Accounts receivable, Small Business Accounting, Multi-currency, automatic bank feeds, small business reporting, payroll integration ",Web-based
Xero (software),Software as a Service,Yes,Yes,Yes,Low to mid-market. Small &amp; midsize enterprises (Small and medium enterprises)," Accounts receivable, Accounts receivable, Accounts receivable, Small Business Accounting, Multi-currency, automatic bank feeds, standard business reporting, management reporting, fixed asset depreciation, payroll, inventory items, expenses management ",Web-based
ZipBooks,Proprietary software,Yes,Yes,Yes,Low to mid-market," Invoicing, expense tracking, time tracking, credit card processing, bank integration ",Web-based
