Software,Type,Version,Operating systems,Developer,Software license,FDA cleared,Supported Devices
Cygnet," Neurofeedback/Neurofeedback    Neurofeedback: Frequency-band and SCP protocols according to Othmer,  particularly: SMR-Beta, ILF 1+2 channel, Synchrony, Alpha Theta.  with EEG NeuroAmp one or two channel protocols, with x23 or x39 optional 19 or 31 channels    Neurofeedback: pIR HEG training with passive-infrared triple sensor pIRx3;   HRV, GSR, Temp with Combination Sensor.  ",2.0,Microsoft Windows (any version)," Developer: BEE Systems GmbH Manufacturer: Corscience GmbH&amp;CoKG Distribution: BEE Medic Europe, BEE Medic EMEA, BEE Medic USA ",Proprietary software," FDA class II, CE class IIa; including Cygnet Bio/Neurofeedback Software "," NeuroAmp[3] Bio/Neurofeedback device plus add-ons:  NeuroAmp x23 (23-channel digital EEG device) NeuroAmp x39 (39-channel digital EEG device) pIRx3 (3-channel passive infrared sensor) tactile feedback Combination Sensor (HRV, GSR, Temperature)  "
Dual Drive Pro,Biofeedback Biofeedback &amp; Temp,3.0,Microsoft Windows,Somatic Vision Inc.,Proprietary software,Unknown (not EEG),
eBioo," Neurofeedback &amp; Analysis  one-, two- and four channel training,   Amplitude-, relative Amplitude-, Coherence-,  Band-Ratio-, Asymmetry-inhibit-Training   and more ..  ",1.5,Microsoft Windows," Soft-dynamics, Geoffrey Arens ",Proprietary software,No – not stated or in FDA database," Pocket Neurobics,[1] Neurobit Optima,[2] Brainmaster[4] "
EEGer4,Neurofeedback &amp; Analysis,4.3.0,Microsoft Windows,EEG Software LLC,Proprietary software,FDA Class II," J&amp;J,[4] Telediagnostic Systems,[4] Phoenix Neuro Systems,[4] Thought Technology,[4] Brainmaster,[4] Brainquiry,[2]Pocket Neurobics,[1] external analog amplifiers "
ElectricGuru,Neurofeedback,0.4,Microsoft Windows,Rob Sacks,Open-source software,No,
EventIDE,Visual environment for designing behavioral experiments and mental games with real-time neurofeedback control and signal processing.,1.0,Microsoft Windows,Okazolab Ltd,Proprietary software,No,The majority of popular bio-amplifiers
LENSware,Neurofeedback &amp;Analysis,3,Windows,OchsLabs,Proprietary,FDA Class II Exempt,Ochslabs A200 amplifier
Mind WorkStation," Neurofeedback, Neurofeedback, and EEG-Driven Entrainment ",1.3,Microsoft Windows,Transparent Corporation,Proprietary software," No but can use Bioexplorer, Biograph, BioEra links "," See Bioexplorer, Biograph, BioEra "
MindReflector,Neurofeedback,1.1,Microsoft Windows," MindReflector Technologies, LLC ",Proprietary software,No,NeuroSkyNeuroSky
NeuroField,Neurofeedback &amp; Analysis,8.7.5,Windows," NeuroField, Inc. ",Proprietary,FDA Class II[22],X3000 Plus[23] and Q20 EEG[24][25]
neuromore Studio," Customizable Biofeedback, protocol designing and automated therapy solution ",1.2.0," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",neuromore Inc.,Proprietary software,No
NeurOptimal,Neurofeedback,3.0,Microsoft Windows," Valdeane W. Brown, Ph.D. ",Proprietary software,Unknown – not stated or in FDA database,zAmp[2] from Zengar
NeuroRT Suite Koala Modulo," Real-time Processing, Self Neuromodulation, Neuromodulation/Neuromodulation ",2.2," Microsoft Windows, Microsoft Windows, Microsoft Windows ",Mensia Technologies,Proprietary software,Medical device CE class IIa,"   ANT: All devices Biosemi: ActiveTwo Mk I and ActiveTwo Mk II Brainmaster: Atlantis and Discovery 24 Brain Products: ActiCHamp, BrainAmp series, QuickAmp and vAMP Cognionics: Cognionics64 EGI: NetAmps 300 Emotiv Systems: EPOC g.Tec: gMobilab+ and gUSBamp MindMedia: NeXus32, NeXus10 Mitsar: EEG 202; NeuroElectrics: Enobio OpenEEG: ModularEEG Shimmer TMSi: Porti, Refa, MOBITA, MOBI, MOBI mini Wearable Sensing: DSI24 and DSI6  "
NeuroServer,Raw EEG to TCP/IP + EDF converter,0.7.4," Linux, Linux ",[Rudi Cilibrasi],GPL,No,
OpenVibe," Brain computer interface, Visual Designer, Analysis, Brain computer interface ",0.18," Linux, Linux ",INRIA,Affero General Public License,No,List of compatible systems
SmartMind,Neurofeedback,v2010,Microsoft Windows," BrainTrain, Inc. ",Proprietary software,Unknown – not stated or in FDA database," Smartmind,NeuroSky Brainmaster,NeuroSky Thought Technology,NeuroSky J&amp;J,NeuroSky Pocket Neurobics,NeuroSky NeuroSkyNeuroSky "
Myndlift,Neurofeedback: one-channel remote amplitude training,?,Android (operating system),Myndlift LTD,Proprietary software,No,Muse
Vilistus,Neurofeedback/Neurofeedback,v5.2.5,Windows,Stephen Clark,Proprietary,No,Vilistus
