Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend Lift ticket window price (USD),Date statistics updated
Keystone Resort," Keystone, CO ",Colorado," 12,408 "," 9,280 "," 3,128 "," 3,148 ",131,20,235,$169," December 11, 2019[39] "
Breckenridge Ski Resort," Breckenridge, CO ",Colorado," 12,998 "," 9,600 "," 3,398 "," 2,908 ",187,34,353,$189," December 11, 2019[40] "
Squaw Valley Ski Resort Squaw Valley Ski Resort," Truckee, CA ",California," 9,050 "," 6,200 "," 2,850 "," 6,400 ",277,43,450,$169," December 11, 2019[41] "
Mammoth Mountain Ski Area," Mammoth Lakes, CA ",California," 11,053 "," 7,953 "," 3,100 "," 3,500 ",150,28,420,$179," December 11, 2019[42] "
Heavenly Mountain Resort Heavenly Mountain Resort," South Lake Tahoe, California ",California," 10,067 "," 7,200 "," 3,500 "," 4,800 ",94,30,360,$164," December 11, 2019[43] "
Mount Shasta Ski Park," Mount Shasta, CA ",California," 9,200 "," 7,800 "," 1,435 ",425,32,4,275,$69," December 11, 2019[44] "
Boreal Mountain Resort," Soda Springs, Nevada County, California ",California," 7,700 "," 7,200 ",500,380,41,8,400,$74," December 11, 2019[45] "
Donner Ski Ranch," Norden, California ",California," 7,781 "," 7,031 ",750,435,52,8,400,$79," December 11, 2019[46] "
Homewood Mountain Resort," Homewood, CA ",California," 7,881 "," 6,223 "," 1,658 "," 1,260 ",60,7,400,$139," December 11, 2019[47] "
Kirkwood Mountain Resort," Kirkwood, CA ",California," 9,800 "," 7,800 "," 2,000 "," 2,300 ",86,15,500,$119," October 29, 2019 "
Northstar California," Truckee, CA ",California," 8,610 "," 6,330 "," 2,280 "," 2,904 ",93,19,350,$169," December 11, 2019[48] "
Sierra-at-Tahoe," Twin Bridges, CA ",California," 8,852 "," 6,640 "," 2,212 "," 2,000 ",46,12,480,$110," December 11, 2019[49] "
Sugar Bowl Ski Resort," Norden, California ",California," 8,383 "," 6,883 "," 1,500 "," 1,500 ",94,13,500,$121," December 11, 2019[50] "
Soda Springs," Soda Springs, Nevada County, California ",California," 7,325 "," 6,673 ",652,200,15,2,400,$50," December 11, 2019[51] "
Tahoe Donner Downhill Ski Area," Truckee, CA ",California," 7,350 "," 6,750 ",600,120,10,3,400,$94," December 11, 2019[52] "
Badger Pass Ski Area,Yosemite National Park,California," 8,000 "," 7,200 ",800,90,10,5,300,$59," December 11, 2019[53] "
Bear Valley (resort)," Angels Camp, CA ",California," 8,500 "," 6,600 "," 1,900 "," 1,280 ",67,10,359,$105," December 11, 2019[54] "
Dodge Ridge Ski Area," Sonora, CA ",California," 8,200 "," 6,600 "," 1,600 ",832,62,12,300,$79," December 11, 2019[55] "
June Mountain," June Lake, California ",California," 10,090 "," 7,545 "," 2,590 ",500,35,7,250,$119," December 11, 2019[56] "
Sierra Summit," Lakeshore, Fresno County, California ",California," 8,709 "," 7,030 "," 1,673 "," 1,200 ",45,11,300,$99," December 11, 2019[57] "
Alta Sierra," Wofford Heights, California ",California," 7,091 "," 6,491 ",600,,6,2,80[58],$65," December 11, 2019[59] "
Buckhorn Ski and Snowboard Club," Three Points, California ",California," 7,903 "," 7,203 ",680,40,5,2,180,Private Club," April 20, 2012 "
Bear Mountain (ski area)," Big Bear Lake, CA ",California," 8,805 "," 7,104 "," 1,665 ",198,24,12,100,$115," December 11, 2019[60] "
Mount Baldy Ski Lifts," Mount Baldy, California ",California," 8,600 "," 6,500 "," 2,100 ",800,26,4,170,$99," December 11, 2019[61] "
Mount Waterman," Three Points, California ",California," 8,030 "," 7,000 "," 1,030 ",150,27,3,180,$60," December 11, 2019[62] "
Mountain High," Wrightwood, CA ",California," 8,200 "," 6,600 "," 1,600 ",290,59,13,132[63],$79," December 11, 2019[64] "
Snow Summit," Big Bear Lake, CA ",California," 8,174 "," 6,965 "," 1,209 ",240,30,14,100,$115," December 11, 2019[60] "
Snow Valley Mountain Resort," Running Springs, CA ",California," 7,841 "," 6,800 "," 1,041 ",240,29,12,150,$72," December 11, 2019[65] "
Wolf Creek Ski Area," Pagosa Springs, CO ",Colorado," 11,904 "," 10,300 "," 1,604 "," 1,600 ",77,7,465,$76," December 11, 2019[66] "
Kicking Horse Resort," Golden, British Columbia ",British Columbia," 8,218 "," 3,900 "," 4,314 "," 3,486 ",120,3,295,$73," March 16, 2019[67] "
Eldora Mountain Resort Eldora Mountain Resort," Nederland, Colorado ",Colorado," 10,800 "," 9,200 "," 1,600 ",680,53,12,300,$129," December 11, 2019[68] "
Alyeska Resort Alyeska Resort," Girdwood, Anchorage ",Alaska," 3,939 ",250," 2,500 "," 1,400 ",73,9,643,$89," November 7, 2019 "
Marmot Basin Marmot Basin," Jasper, Alberta ",Alberta," 8,570 "," 5,570 "," 3,000 "," 1,675 ",86,8,160,$105," September 19, 2019 "
Lake Louise Mountain Resort Lake Louise Mountain Resort," Lake Louise, Alberta ",Alberta," 8,650 "," 5,400 "," 3,250 "," 4,200 ",139,9,180[69],$84.95[70]," February 14, 2014 "
Big White Ski Resort Big White Ski Resort,Kelowna,British Columbia," 7,606 "," 4,950 "," 2,656 "," 2,800 ",118,16,294,$76," November 19, 2010 "
Silver Star Mountain Resort Silver Star Mountain Resort," Vernon, British Columbia ",British Columbia," 6,282 "," 3,789 "," 2,500 "," 3,269 ",128,12,275,$81," April, 2015[71] "
Whistler Blackcomb Whistler Blackcomb," Whistler, British Columbia ",British Columbia," 7,494 "," 2,140 "," 5,280 "," 8,171 ",200,26,404,$93," December 23, 2017 "
" Steamboat Springs, Colorado Steamboat Springs, Colorado "," Steamboat Springs, Colorado ",Colorado," 10,568 "," 6,900 "," 3,668 "," 2,956 ",165,16,349,$155," December 11, 2019[72] "
Copper Mountain (Colorado) Copper Mountain (Colorado)," Frisco, Colorado ",Colorado," 12,313 "," 9,712 "," 2,601 "," 2,450 ",126,22,282,$190," December 11, 2019[73] "
Vail Ski Resort," Vail, Colorado ",Colorado," 11,570 "," 8,120 "," 3,450 "," 5,289 ",195,31,354,$209," December 11, 2019[74] "
Beaver Creek Resort," Avon, Colorado ",Colorado," 11,440 "," 8,100 "," 3,340 "," 1,832 ",150,24,195,$209," December 11, 2019[75] "
Winter Park Resort," Winter Park, Colorado ",Colorado," 12,060 "," 9,000 "," 3,060 "," 3,000 ",143,25,365,$109," December 8, 2019 "
Saddleback Maine," Farmington, Maine ",Maine," 4,120 "," 2,120 "," 2,000 ",485,66,5,200,Temporarily Closed," December 11, 2019[76] "
Boyne Mountain," Boyne City, Michigan ",Michigan," 1,120 ",620,500,41,60,10,140,$102," December 11, 2019[77] "
Mountain Creek," Vernon Township, New Jersey ",New Jersey," 1,480 ",440," 1,040 ",200,41,8,65,$80," December 11, 2019[78] "
Blue Mountain (ski resort)," Collingwood, Ontario ",Ontario," 1,483 ",741,742,250,34,15,109,$67,
Mount Bachelor ski area Mount Bachelor ski area," Bend, Oregon ",Oregon," 9,065 "," 5,700 "," 3,365 "," 4,318 ",101,11,462,$99," September 29, 2019[79] "
Mount Hood Meadows Mount Hood Meadows," Portland, Oregon ",Oregon," 7,300 "," 4,523 "," 2,777 "," 2,150 ",85,11,430,$79," December 11, 2019[80] "
Mont-Sainte-Anne," Sainte-Anne-de-Beaupré, Quebec ",Quebec," 2,625 ",575," 2,050 ",450,65,13,187,$65,
Mont Tremblant Resort,Mont Tremblant,Quebec," 2,870 ",750," 2,120 ",627,95,14,156,$70.35,
Le Massif,Petite-Rivière-Saint-François,Quebec," 2,645 ",118," 2,527 ",410,48,4,248,$61,
Brian Head Ski Resort," Brian Head, Utah ",Utah," 11,307 "," 9,600 "," 1,548 ",650,14,8,370,$45," December 11, 2019[81] "
Park City Mountain ResortPark City Mountain Resort," Park City, Utah ",Utah," 10,000 "," 6,900 "," 3,100 "," 7,300 ",348,41,360,$179," December 11, 2019 "
Deer Valley," Park City, Utah ",Utah," 9,570 "," 6,570 "," 3,000 "," 2,026 ",100,21,280,$209," December 11, 2019[81] "
Brighton Ski Resort Brighton Ski Resort,Salt Lake City,Utah," 10,500 "," 8,755 "," 1,745 "," 1,500 ",66,6,500,$99," December 11, 2019[83] "
Alta Ski Area Alta Ski Area,Salt Lake City,Utah," 10,550 "," 8,530 "," 2,020 "," 2,200 ",116,10,560,$125," December 11, 2019[84] "
" Snowbird, Utah Snowbird, Utah ",Salt Lake City,Utah," 10,992 "," 7,760 "," 3,240 "," 2,500 ",85,13,500,$145," December 11, 2019[85] "
Smuggler's Notch," Jeffersonville, Vermont ",Vermont," 3,640 "," 1,030 "," 2,610 "," 1,000 ",78,16,288,$82," December 11, 2019[86] "
Windham Mountain," Windham, New York ",New York (state)," 3,100 "," 1,500 "," 1,600 ",279,52,12,100[87],$98," December 11, 2019[88] "
Hunter Mountain (ski area)," Hunter, New York ",New York (state)," 3,200 "," 1,600 "," 1,600 ",240,58,10,120[89],$91," December 11, 2019[90] "
Killington Ski Resort," Killington, Vermont ",Vermont," 4,241 "," 1,165 "," 3,050 "," 1,509 ",155,21,250,$125," December 11, 2019[91] "
Okemo Mountain," Ludlow (town), Vermont ",Vermont," 3,344 "," 1,144 "," 2,200 ",632,119,19,200,$119," December 11, 2019[92] "
Stowe Mountain Resort," Stowe, Vermont ",Vermont," 3,719 "," 1,559 "," 2,160 ",485,116,13,333,$139," December 11, 2019[93] "
Sugarbush Resort," Warren, Vermont ",Vermont," 4,083 "," 1,483 "," 2,600 ",508,111,16,269,$128," December 11, 2019[94] "
Sugarloaf (ski resort)," Carrabassett Valley, Maine ",Maine," 4,237 "," 1,417 "," 2,820 "," 1,153 ",154,14,200,$105," December 11, 2019[95] "
Snowshoe Mountain," Marlinton, West Virginia ",West Virginia," 4,848 "," 3,348 "," 1,500 ",244,60,14,180,$109," December 11, 2019[96] "
Sunshine Village Sunshine Village," Banff, Alberta ",Alberta," 8,954 "," 5,440 "," 3,514 "," 3,358 ",107,12,360,$82," January 19, 2013 "
Mt. Norquay Mt. Norquay," Banff, Alberta ",Alberta," 8,040 "," 5,500 "," 1,650 ",190,28,5,120,$59," January 19, 2013 "
Grouse Mountain Grouse Mountain,North Vancouver (district municipality),British Columbia," 4,039 ",899," 1,198 ",212,26,5,120,$58," April 2, 2013 "
Mount Seymour Mount Seymour,North Vancouver (district municipality),British Columbia," 4,150 ",935," 1,083 ",200,23,5,394,$51," April 2, 2013 "
Cypress Mountain Cypress Mountain," West Vancouver, British Columbia ",British Columbia," 4,724 "," 2,985 "," 2,001 ",600,53,6,245,$60," April 2, 2013 "
Stevens Pass Stevens Pass," Stevens Pass, Washington ",Washington (state)," 5,845 "," 4,061 "," 1,800 "," 1,125 ",37,10,450,$111," December 11, 2019[97] "
Sun Peaks Resort,Kamloops,British Columbia," 6,824 "," 3,930 "," 2,894 "," 4,270 ",135,12,237,$74," December 23, 2017 "
Crystal Mountain (Washington),Enumclaw,Washington (state)," 7,012 "," 3,912 "," 3,100 "," 2,600 ",57,12,350,$96," December 11, 2019[98] "
Red Mountain Resort Red Mountain Resort," Rossland, British Columbia Rossland, British Columbia ",British Columbia," 6,807 "," 3,887 "," 2,919 "," 4,200 ",110,7,300,$74," February 26, 2019 "
Mt Baker Mt Baker,Glacier,Washington (state)," 5,089 "," 3,500 "," 1,589 "," 1,000 ",31,10,641,$63," December 11, 2019[99] "
Whiteface Mountain," Lake Placid, New York ",New York (state)," 4,650 "," 1,220 "," 3,430 ",314,87,11,168[100],$104," December 11, 2019[101] "
Powder Mountain," Eden, Utah ",Utah," 9,422[102] "," 6,900 "," 2,205 "," 8,464[102] ",167,9,500,$95," December 11, 2019[103] "
Sugar Mountain Resort (page does not exist) Sugar Mountain Resort (page does not exist)," Banner Elk, North Carolina ",North Carolina," 5,300 "," 4,100 "," 1,200 ",120,21,8,77,$77," December 11, 2019[104] "
Beech Mountain Resort (page does not exist) Beech Mountain Resort (page does not exist)," Beech Mountain, North Carolina ",North Carolina," 5,506 "," 4,675 ",831,95,17,8,84,$70," December 11, 2019[105] "
Appalachian Ski Mountain Appalachian Ski Mountain," Blowing Rock, North Carolina ",North Carolina," 4,000 "," 3,635 ",365,27,12,5,27,$66," December 11, 2019[106] "
Cataloochee Ski Area Cataloochee Ski Area," Maggie Valley, North Carolina ",North Carolina," 5,400 "," 4,660 ",740,50,18,5,24,$72," December 11, 2019[107] "
Sapphire Valley Ski Area (page does not exist) Sapphire Valley Ski Area (page does not exist)," Sapphire, North Carolina ",North Carolina," 3,400 "," 3,200 ",200,8,3,3,24,$45," December 11, 2019[108] "
Wolf Ridge Ski Resort Wolf Ridge Ski Resort," Mars Hill, North Carolina ",North Carolina," 4,700 "," 4,000 ",700,65,15,4,65,$65," December 11, 2019[109] "
Aspen HighlandsAspen Highlands," Aspen, Colorado ",Colorado," 11,678 "," 8,040 "," 3,638 "," 1,010 ",144,5,300,$74," December 11, 2019[111] "
Aspen Mountain (ski area)Aspen Mountain (ski area)," Aspen, Colorado ",Colorado," 11,212 "," 7,945 "," 3,267 ",673,76,8,300,$174," December 11, 2019[111] "
Buttermilk (ski area)Buttermilk (ski area)," Aspen, Colorado ",Colorado," 9,900 "," 7,870 "," 2,030 ",435,44,8,200,$174," December 11, 2019[111] "
Snowmass (ski area)Snowmass (ski area)," Aspen, Colorado ",Colorado," 12,510 "," 8,104 "," 4,406 "," 3,362 ",96,17,300,$174," December 11, 2019[111] "
Lee Canyon (Ski and Snowboard Resort)Lee Canyon (Ski and Snowboard Resort),Las Vegas,Nevada," 11,289 "," 8,510 ",860,385,27,3,161,$79," December 11, 2019[116] "
Terry Peak," Lead, South Dakota ",South Dakota," 7,064 "," 5,930 "," 1,134 ",450,30,4,150,$59," December 11, 2019[117] "
Mount Snow Mount Snow," Dover, VT ",Vermont," 3,600 "," 1,900 "," 1,700 ",600,86,20,156,$118," December 11, 2019[118] "
Wintergreen," Charlottesville, Virginia ",Virginia," 3,515 "," 2,512 "," 1,003 ",129,26,5,35,$94," December 11, 2019[119] "
Angel Fire Resort Angel Fire Resort," Angel Fire, New Mexico ",New Mexico," 10,677 "," 8,600 "," 2,077 ",30,80,7,210,$84," December 11, 2019[120] "
Bridger Bowl Ski Area," Bozeman, Montana ",Montana," 8,700 "," 6,100 "," 2,600 "," 2,000 ",75,11,350,$63," September 28, 2019[121] "
Turner Mountain Ski Resort," Libby, Montana ",Montana," 5,952 "," 3,842 "," 2,110 "," 1,000 ",22,1,200,$38," September 28, 2019[122] "
Discovery Ski Area," Anaconda, Montana ",Montana," 8,158 "," 5,770 "," 2,388 "," 2,200 ",67,8,150,$52," September 28, 2019[123] "
Great Divide Ski Area," Helena, Montana ",Montana," 7,210 "," 5,880 "," 1,330 "," 1,500 ",140,6,180,$48," September 28, 2019[124] "
Showdown Ski Area," Great Falls, Montana ",Montana," 8,200 "," 6,800 "," 1,400 ",640,36,4,240,$49," September 28, 2019 "
Maverick Mountain Ski Area," Dillon, Montana ",Montana," 8,820 "," 6,800 "," 2,020 ",170,24,2,200,$39," September 28, 2019[125] "
Lost Trail Powder Mountain," Hamilton, Montana ",Montana," 8,200 "," 6,400 "," 1,800 "," 1,800 ",60,8,325,$46," September 28, 2019[126] "
Blacktail Mountain Ski Area," Kalispell, Montana ",Montana," 6,780 "," 5,340 "," 1,440 "," 1,000 ",26,4,250,$42," September 28, 2019[127] "
Bear Paw Ski Bowl," Havre, Montana ",Montana," 5,280 "," 4,200 "," 1,080 ",80,11,2,140,$20," September 28, 2019[128] "
Red Lodge Mountain," Red Lodge, Montana ",Montana," 9,416 "," 7,016 "," 2,400 "," 1,635 ",70,7,250,$69," September 28, 2019[129] "
Montana Snowbowl," Missoula, Montana ",Montana," 7,600 "," 5,000 "," 2,600 ",950,39,4,300,$52," September 28, 2019[130] "
Teton Pass Ski Area," Choteau, Montana ",Montana," 7,200 "," 6,190 "," 1,010 ",114,26,2,250,$45," May 25, 2020[131] "
White Pass Ski Area," Yakima, Washington ",Washington (state)," 6,500 "," 4,500 "," 2,000 "," 1,400 ",45,8,350,$69," September 28, 2019[132] "
49 Degrees North Ski Area," Spokane, Washington ",Washington (state)," 5,774 "," 3,923 "," 1,851 "," 2,325 ",82,6,300,$62," September 28, 2019[133] "
Hurricane Ridge Ski and Snowboard Area," Port Angeles, Washington ",Washington (state)," 5,500 "," 4,800 ",700,,10,3,400,$37," September 28, 2019[134] "
The Summit at Snoqualmie," North Bend, Washington ",Washington (state)," 5,420 "," 2,610 "," 2,280 "," 1,914 ",62,27,435,$58," September 28, 2019[135] "
Ski Bluewood," Dayton, Washington ",Washington (state)," 5,670 "," 4,454 "," 1,216 ",530,24,3,300,$50," September 28, 2019[136] "
Mount Spokane Ski and Snowboard Park," Spokane, Washington ",Washington (state)," 5,889 "," 3,818 "," 2,071 "," 1,704 ",52,8,300,$62," September 28, 2019[137] "
Mission Ridge Ski Area," Wenatchee, Washington ",Washington (state)," 6,820 "," 4,570 "," 2,250 "," 2,000 ",36,6,200,$75," September 28, 2019[138] "
Loup Loup Ski Bowl," Twisp, Washington ",Washington (state)," 5,280 "," 4,040 "," 1,240 ",550,10,3,150,$55," September 28, 2019[139] "
Echo Valley Ski Area," Chelan, Washington ",Washington (state)," 3,900 "," 3,000 ",900,70,6,4,,$30," September 28, 2019[140] "
Badger Mountain Ski Area," Waterville, Washington ",Washington (state)," 3,470 "," 3,145 ",325,10,5,3,120,$10," September 28, 2019[141] "
Leavenworth Ski Hill," Leavenworth, Washington ",Washington (state)," 1,706 "," 1,476 ",230,17,2,2,,$22," September 28, 2019[142] "
Meany Lodge," Easton, Washington ",Washington (state),,,450,54,32,1,,$40," September 28, 2019[143] "
Sitzmark Lifts," Tonasket, Washington ",Washington (state)," 4,950 "," 4,300 ",650,,11,2,,$45," September 28, 2019[144] "
Mount Eyak," Cordova, Alaska ",Alaska," 1,200 ",400,800,100,10,2,350,$30," September 28, 2019[145] "
Moose Mountain (Alaska)," Fairbanks, Alaska ",Alaska," 1,985 ",685," 1,300 ",200,40,0,70,$40," September 28, 2019[146] "
Eaglecrest Ski Area," Juneau, Alaska ",Alaska," 2,750 "," 1,130 "," 1,620 ",640,34,4,350,$58," September 28, 2019[147] "
Hilltop Ski Area," Anchorage, Alaska ",Alaska,780,486,294,30,13,3,69,$34," September 28, 2019[148] "
Arctic Valley Ski Area," Anchorage, Alaska ",Alaska," 4,000 "," 2,500 "," 1,500 ",320,24,3,250,$40," September 28, 2019[149] "
Skiland," Fairbanks, Alaska ",Alaska," 2,435 "," 1,408 "," 1,027 ",530,46,2,,$40," September 28, 2019[150] "
White Pine Ski Resort," Pinedale, Wyoming ",Wyoming," 9,500 "," 8,450 "," 1,050 ",350,27,2,150,$50," September 28, 2019[151] "
Snowy Range Ski Area," Centennial, Wyoming ",Wyoming," 9,663 "," 8,798 ",865,250,27,5,245,$49," September 28, 2019[152] "
Snow King Mountain," Jackson, Wyoming ",Wyoming," 7,808 "," 6,237 "," 1,571 ",400,32,5,175,$59," September 28, 2019[153] "
Pine Creek Ski Area," Cokeville, Wyoming ",Wyoming," 8,200 "," 6,875 "," 1,325 ",370,30,2,150,$45," September 28, 2019[154] "
Hogadon Ski Area," Casper, Wyoming ",Wyoming," 8,000 "," 7,370 ",630,60,27,2,140,$48," September 28, 2019[155] "
Meadowlark Ski Lodge," Ten Sleep, Wyoming ",Wyoming," 9,500 "," 8,500 "," 1,000 ",300,14,3,,$48," September 28, 2019[156] "
Sleeping Giant," Cody, Wyoming ",Wyoming," 7,428 "," 6,619 ",810,184,49,3,310,$42," September 28, 2019[157] "
Elko Snobowl," Elko, Nevada ",Nevada," 6,988 "," 6,338 ",650,60,10,2,24,$20," September 28, 2019[158] "
Diamond Peak (ski area)," Incline Village, Nevada ",Nevada," 8,540 "," 6,700 "," 1,840 ",655,30,6,225,$99," September 28, 2019[159] "
Great Bear Ski Valley," Sioux Falls, South Dakota ",South Dakota," 1,530 "," 1,352 ",178,220,14,4,150,$29," September 28, 2019[160] "
Huff Hills," Mandan, North Dakota ",North Dakota," 2,150 "," 1,725 ",425,,21,3,40,$35," September 28, 2019[161] "
Bottineau Winter Park," Bottineau, North Dakota ",North Dakota," 2,450 "," 2,270 ",180,40,8,6,13,$35," September 28, 2019[162] "
Elk Ridge Ski Area," Williams, Arizona ",Arizona," 8,150 "," 7,500 ",650,37,10,2,150,$40," September 28, 2019[163] "
Mount Lemmon Ski Valley," Tucson, Arizona ",Arizona," 9,157 "," 8,200 ",957,200,21,3,180,$47," September 28, 2019[164] "
Sunrise Park Resort," Greer, Arizona ",Arizona," 11,100 "," 9,200 "," 1,900 ",800,65,9,250,$78," September 28, 2019[165] "
Sandia Peak Tramway," Albuquerque, New Mexico ",New Mexico," 10,378 "," 8,678 "," 1,700 ",200,39,5,100,$55," September 28, 2019[166] "
Ski Apache," Ruidoso, New Mexico ",New Mexico," 11,500 "," 9,600 "," 1,900 ",750,55,8,185,$74," September 28, 2019[167] "
Sipapu (ski area)," Taos, New Mexico ",New Mexico," 9,225 "," 8,200 "," 1,055 ",200,41,6,190,$45," September 28, 2019[168] "
Red River," Red River, New Mexico ",New Mexico," 10,350 "," 8,750 "," 1,600 ",209,64,7,214,$82," September 28, 2019[169] "
Kelly Canyon," Idaho Falls, Idaho ",Idaho," 6,600 "," 5,600 "," 1,000 ",640,26,5,200,$42," September 28, 2019[170] "
" Pebble Creek, Idaho "," Pocatello, Idaho ",Idaho," 8,560 "," 6,360 "," 2,200 "," 1,100 ",54,3,250,$52," September 28, 2019[171] "
Magic Mountain Ski Area," Twin Falls, Idaho ",Idaho," 7,240 "," 6,540 ",700,120,11,4,230,$33," September 28, 2019[172] "
Blizzard Mountain Ski Area," Arco, Idaho ",Idaho," 6,305 "," 5,595 ",710,,,1,,," September 28, 2019 "
Rotarun Ski Area," Hailey, Idaho ",Idaho," 5,895 "," 5,420 ",475,,12,1,,$20," September 28, 2019[173] "
Chipmunk Hill," Challis, Idaho ",Idaho,,,,30,1,1,,$5," September 28, 2019 "
Snowhaven," Grangeville, Idaho ",Idaho," 5,600 "," 5,200 ",400,40,9,2,60,$19," September 28, 2019[174] "
