Model,Level,Image processing engine,Image sensor format,Image sensor type,Sensor manufacturer,Megapixel,Autofocus points,Light meter pixels,Viewfinder coverage,Viewfinder magnification,Film speed min (expanded),Film speed min,Film speed max,Film speed max (expanded)," LCD monitor size, pixels  ",Touch screen,Storage media,Live view,Movie mode,Max Burst mode (photography),Shutter Rating,Weight (g),Dimensions (mm),Video,Release Date,WiFi/Bluetooth,GPS
Nikon D70,Mid-range,-,APS-C,Charge-coupled device,Sony,6.1,5,1005,95%,0.75x,200,200,1600,1600," 1.8"" 130k ",," CF, MicroDrive ",No,No,3,,595,140 × 112 × 79,,2004 1Q,-,-
Nikon D5600,Upper-entry,EXPEED,APS-C,CMOS sensor,Sony,24.2,39,2016,95%,0.82x,100,100,25600,25600," 3.2"" 1037k ",," SD, SDHC, SDXC ",Yes,Yes,5,,415,124 x 97 x 70,1080p60,2016 4Q,WiFi + Bluetooth built in,GP-1(A) + SnapBridge
Nikon D5500,Upper-entry,EXPEED,APS-C,CMOS sensor,Sony,24.1,39,2016,95%,0.82x,100,100,25600,25600," 3.2"" 1037k ",Articulated," SD, SDHC, SDXC ",Yes,Yes,5,100.000+,420,124 × 97 × 70,1080p60,2015 1Q,WiFi built in,GP-1(A)
Nikon D5300,Upper-entry,EXPEED,APS-C,CMOS sensor,SonySony,24.1,39,2016,95%,0.82x,100,100,12800,25600," 3.2"" 1037k ",," SD, SDHC, SDXC ",Yes,Yes,5,100.000+,480,125 × 98 × 76,1080p60,2013 4Q,WiFi built in,Yes (Built-in)
Nikon D5200,Upper-entry,EXPEED,APS-C,CMOS sensor,Toshiba,24.1,39,2016,95%,0.78x,100,100,6400,25600," 3.0"" 921k ",," SD, SDHC, SDXC ",Yes,Yes,5,100.000+,550,129 × 98 × 78,1080i60 1080p30,2012 4Q,-,GP-1(A)
Nikon D5100,Upper-entry,EXPEED,APS-C,CMOS sensor,Sony,16.2,11,420,95%,0.78x,100,100,6400,25600," 3.0"" 921k ",," SD, SDHC, SDXC ",Yes,Yes,4,100.000+,510,127 × 97 × 79,1080p30,2011 2Q,-,GP-1(A) + CA90
Nikon D5000,Upper-entry,EXPEED,APS-C,CMOS sensor,Sony,12.3,11,420,95%,0.78x,100,200,3200,6400," 2.7"" 230k ",," SD, SDHC ",Yes,Yes,4,100.000+,560,127 × 104 × 80,720p24,2009 2Q,-,GP-1(A) + CA90
Nikon D60,Upper-entry,EXPEED,APS-C,Charge-coupled device,Sony,10.2,3,420,95%,0.8x,100,100,1600,3200," 2.5"" 230k ",," SD, SDHC ",No,No,3,,495,126 × 94 × 64,,2008 1Q,-,-
Nikon D40x,Upper-entry,-,APS-C,Charge-coupled device,Sony,10.2,3,420,95%,0.8x,100,100,1600,1600," 2.5"" 230k ",," SD, SDHC ",No,No,3,,495,126 × 94 × 64,,2007 2Q,-,-
Nikon D50,Upper-entry,-,APS-C,Charge-coupled device,Sony,6.1,5,420,95%,0.75x,200,200,1600,1600," 2.0"" 130k ",,SD,No,No,2.5,,540,133 × 102 × 76,,2005 2Q,-,-
Nikon D3500,Entry-level,EXPEED,APS-C,CMOS sensor,,24.2,11,420,95%,0.85x,100,100,25600,25600," 3.0"" 921k ",," SD, SDHC, SDXC ",Yes,Yes,5,,365,124 x 97 x 69.5,1080p60,2018 2Q,Bluetooth built in,SnapBridge
Nikon D3400,Entry-level,EXPEED,APS-C,CMOS sensor,,24.2,11,420,95%,0.85x,100,100,25600,25600," 3.0"" 921k ",," SD, SDHC, SDXC ",Yes,Yes,5,,395,124 x 98 x 76,,2016 3Q,Bluetooth built in,SnapBridge
Nikon D3300,Entry-level,EXPEED,APS-C,CMOS sensor,Nikon,24.2,11,420,95%,0.85x,100,100,12800,25600," 3.0"" 921k ",," SD, SDHC, SDXC ",Yes,Yes,5,,430,124 x 98 x 76,1080p60,2014 1Q,-,GP-1(A)
Nikon D3200,Entry-level,EXPEED,APS-C,CMOS sensor,Nikon,24.2,11,420,95%,0.8x,100,100,6400,12800," 3.0"" 921k ",," SD, SDHC, SDXC ",Yes,Yes,4,100.000+,455,125 x 96 x 77,1080p30,2012 2Q,Yes (with WU-1a Wireless Adapter),GP-1(A)
Nikon D3100,Entry-level,EXPEED,APS-C,CMOS sensor,Nikon,14.2,11,420,95%,0.8x,100,100,3200,12800," 3.0"" 230k ",," SD, SDHC, SDXC ",Yes,Yes,3,100.000+,455,125 × 97 × 74,,2010 3Q,-,GP-1(A) + CA90
Nikon D3000,Entry-level,EXPEED,APS-C,Charge-coupled device,Sony,10.2,11,420,95%,0.8x,100,100,1600,3200," 3.0"" 230k ",," SD, SDHC ",No,No,3,100.000+,485,126 × 94 × 64,,2009 3Q,-,-
Nikon D40,Entry-level,-,APS-C,Charge-coupled device,Sony,6.1,3,420,95%,0.8x,200,200,1600,3200," 2.5"" 230k ",," SD, SDHC ",No,No,2.5,,475,126 × 94 × 64,,2006 4Q,-,-
Model,Level,Image processing engine,Image sensor format,Image sensor type,Sensor manufacturer,Megapixel,Autofocus points,Light meter pixels,Viewfinder coverage,Viewfinder magnification,Film speed min (expanded),Film speed min,Film speed max,Film speed max (expanded)," LCD monitor size, pixels  ",Touch screen,Storage media,Live view,Movie mode,Max Burst mode (photography),Shutter Rating,Weight (g),Dimensions (mm),Video,Release Date,WiFi/Bluetooth,GPS
